time,temperatura
150,60.8
300,60.7
450,60.7
600,60.7
750,60.6
900,60.6
1050,60.6
1200,60.6
1350,60.6
1500,60.5
1650,60.5
1800,60.5
1950,60.5
2100,60.5
2250,60.4
2400,60.4
2550,60.4
2700,60.4
2850,60.4
3000,60.3
3150,60.3
3300,60.3
3450,60.3
3600,60.3
3750,60.3
3900,60.3
4050,60.3
4200,60.3
4350,60.3
4500,60.3
4650,60.3
4800,60.3
4950,60.4
5100,60.4
5250,60.4
5400,60.4
5550,60.4
5700,60.5
5850,60.5
6000,60.5
6150,60.5
6300,60.5
6450,60.6
6600,60.6
6750,60.6
6900,60.6
7050,60.6
7200,60.6
7350,60.6
7500,60.6
7650,60.6
7800,60.6
7950,60.6
8100,60.7
8250,60.7
8400,60.7
8550,60.7
8700,60.7
8850,60.7
9000,60.7
9150,60.7
9300,60.8
9450,60.8
9600,60.8
9750,60.8
9900,60.8
10050,60.9
10200,60.9
10350,60.8
10500,60.8
10650,60.8
10800,60.8
10950,60.8
11100,60.8
11250,60.9
11400,60.9
11550,61
11700,61
11850,61
12000,61
12150,61
12300,61.2
12450,61.2
12600,61.2
12750,61.2
12900,61.2
13050,61.4
13200,61.4
13350,61.4
13500,61.4
13650,61.4
13800,61.4
13950,61.4
14100,61.4
14250,61.4
14400,61.4
14550,61.4
14700,61.5
14850,61.5
15000,61.6
15150,61.6
15300,61.6
15450,61.7
15600,61.7
15750,61.7
15900,61.8
16050,61.8
16200,61.8
16350,61.8
16500,61.8
16650,62
16800,62
16950,62.1
17100,62.1
17250,62.1
17400,62.2
17550,62.2
17700,62.3
17850,62.3
18000,62.3
18150,62.4
18300,62.4
18450,62.5
18600,62.5
18750,62.5
18900,62.7
19050,62.7
19200,62.7
19350,62.8
19500,62.8
19650,63
19800,63
19950,63
20100,63.1
20250,63.1
20400,63.2
20550,63.2
20700,63.2
20850,63.4
21000,63.4
21150,63.4
21300,63.6
21450,63.6
21600,63.7
21750,63.7
21900,63.7
22050,63.9
22200,63.9
22350,63.9
22500,64.1
22650,64.1
22800,64.2
22950,64.2
23100,64.2
23250,64.4
23400,64.4
23550,64.5
23700,64.5
23850,64.5
24000,64.7
24150,64.7
24300,64.9
24450,64.9
24600,64.9
24750,65
24900,65
25050,65
25200,65.2
25350,65.2
25500,65.5
25650,65.5
25800,65.5
25950,65.7
26100,65.7
26250,65.7
26400,65.9
26550,65.9
26700,66.1
26850,66.1
27000,66.1
27150,66.3
27300,66.3
27450,66.5
27600,66.5
27750,66.5
27900,66.7
28050,66.7
28200,66.9
28350,66.9
28500,66.9
28650,67.1
28800,67.1
28950,67.3
29100,67.3
29250,67.3
29400,67.5
29550,67.5
29700,67.5
29850,67.8
30000,67.8
30150,68
30300,68
30450,68
30600,68.1
30750,68.1
30900,68.1
31050,68.2
31200,68.2
31350,68.4
31500,68.4
31650,68.4
31800,68.6
31950,68.6
32100,68.8
32250,68.8
32400,68.8
32550,69.1
32700,69.1
32850,69.3
33000,69.3
33150,69.3
33300,69.6
33450,69.6
33600,69.8
33750,69.8
33900,69.8
34050,70
34200,70
34350,70
34500,70.3
34650,70.3
34800,70.5
34950,70.5
35100,70.5
35250,70.7
35400,70.7
35550,70.7
35700,71
35850,71
36000,71.3
36150,71.3
36300,71.3
36450,71.5
36600,71.5
36750,71.5
36900,71.8
37050,71.8
