time,temperatura,entrada
150,25.6,0
300,25.6,0
450,25.6,0
600,25.6,0
750,25.6,0
900,25.6,0
1050,25.6,0
1200,25.6,0
1350,25.6,0
1500,25.6,0
1650,25.6,0
1800,25.6,0
1950,25.6,0
2100,25.6,0
2250,25.6,0
2400,25.6,0
2550,25.6,0
2700,25.6,0
2850,25.6,0
3000,25.6,0
3150,25.6,0
3300,25.6,0
3450,25.6,0
3600,25.6,0
3750,25.6,0
3900,25.6,0
4050,25.6,0
4200,25.6,0
4350,25.6,0
4500,25.6,0
4650,25.6,0
4800,25.6,0
4950,25.6,0
5100,25.6,0
5250,25.6,0
5400,25.6,0
5550,25.6,0
5700,25.6,0
5850,25.6,0
6000,25.6,0
6150,25.6,0
6300,25.6,0
6450,25.6,0
6600,25.6,0
6750,25.6,0
6900,25.6,0
7050,25.6,0
7200,25.6,0
7350,25.6,0
7500,25.6,0
7650,25.6,0
7800,25.6,0
7950,25.6,0
8100,25.6,0
8250,25.6,0
8400,25.6,0
8550,25.6,0
8700,25.6,0
8850,25.6,0
9000,25.6,0
9150,25.6,0
9300,25.6,0
9450,25.6,0
9600,25.6,0
9750,25.6,0
9900,25.6,0
10050,25.6,0
10200,25.6,0
10350,25.6,0
10500,25.6,0
10650,25.6,0
10800,25.6,50
10950,25.6,50
11100,25.6,50
11250,25.6,50
11400,25.6,50
11550,25.6,50
11700,25.6,50
11850,25.6,50
12000,25.6,50
12150,25.6,50
12300,25.6,50
12450,25.6,50
12600,25.6,50
12750,25.6,50
12900,25.6,50
13050,25.6,50
13200,25.6,50
13350,25.6,50
13500,25.6,50
13650,25.6,50
13800,25.6,50
13950,25.6,50
14100,25.6,50
14250,25.6,50
14400,25.6,50
14550,25.6,50
14700,25.6,50
14850,25.6,50
15000,25.6,50
15150,25.6,50
15300,25.6,50
15450,25.6,50
15600,25.6,50
15750,25.6,50
15900,25.6,50
16050,25.6,50
16200,25.6,50
16350,25.6,50
16500,25.6,50
16650,25.6,50
16800,25.6,50
16950,25.6,50
17100,25.6,50
17250,25.6,50
17400,25.7,50
17550,25.7,50
17700,25.7,50
17850,25.7,50
18000,25.7,50
18150,25.7,50
18300,25.7,50
18450,25.7,50
18600,25.7,50
18750,25.7,50
18900,25.7,50
19050,25.7,50
19200,25.7,50
19350,25.7,50
19500,25.8,50
19650,25.8,50
19800,25.8,50
19950,25.8,50
20100,25.8,50
20250,25.8,50
20400,25.8,50
20550,25.8,50
20700,25.9,50
20850,25.9,50
21000,25.9,50
21150,26,50
21300,26,50
21450,26,50
21600,26,50
21750,26,50
21900,26.1,50
22050,26.1,50
22200,26.1,50
22350,26.1,50
22500,26.1,50
22650,26.1,50
22800,26.2,50
22950,26.2,50
23100,26.2,50
23250,26.2,50
23400,26.2,50
23550,26.3,50
23700,26.3,50
23850,26.3,50
24000,26.4,50
24150,26.4,50
24300,26.5,50
24450,26.5,50
24600,26.5,50
24750,26.5,50
24900,26.5,50
25050,26.5,50
25200,26.6,50
25350,26.6,50
25500,26.6,50
25650,26.8,50
25800,26.8,50
25950,26.9,50
26100,26.9,50
26250,26.9,50
26400,27,50
26550,27,50
26700,27,50
26850,27.1,50
27000,27.1,50
27150,27.1,50
27300,27.2,50
27450,27.2,50
27600,27.3,50
27750,27.3,50
27900,27.3,50
28050,27.4,50
28200,27.4,50
28350,27.4,50
28500,27.6,50
28650,27.6,50
28800,27.7,50
28950,27.7,50
29100,27.7,50
29250,27.8,50
29400,27.8,50
29550,27.8,50
29700,28,50
29850,28,50
30000,28,50
30150,28.1,50
30300,28.1,50
30450,28.3,50
30600,28.3,50
30750,28.3,50
30900,28.4,50
31050,28.4,50
31200,28.4,50
31350,28.6,50
31500,28.6,50
31650,28.7,50
31800,28.7,50
31950,28.7,50
32100,28.9,50
32250,28.9,50
32400,28.9,50
32550,29.1,50
32700,29.1,50
32850,29.1,50
33000,29.2,50
33150,29.2,50
33300,29.4,50
33450,29.4,50
33600,29.4,50
33750,29.6,50
33900,29.6,50
34050,29.6,50
34200,29.8,50
34350,29.8,50
34500,30,50
34650,30,50
