time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,RPM TRAC
2015-8-13 8:30:1,63.3,152.3,1.918,2.034608,3.5
2015-8-13 8:30:2,63.3,152.3,1.895061,2.057594,3.5
2015-8-13 8:30:4,63.3,152.3,1.883591,2.011622,3.5
2015-8-13 8:30:6,63.3,152.4,1.860651,1.977143,2.3875
2015-8-13 8:30:7,63.3,152.4,1.872121,1.988636,2.3875
2015-8-13 8:30:9,63.3,152.3,1.90653,1.96565,1.4975
2015-8-13 8:30:10,63.3,152.3,1.918,1.942664,1.4975
2015-8-13 8:30:12,63.2,152.3,1.94094,1.919678,3.5
2015-8-13 8:30:14,63.2,152.3,1.96388,1.896692,3.5
2015-8-13 8:30:15,63.2,152.3,1.98682,1.931171,3.5
2015-8-13 8:30:17,63.2,152.3,2.009759,1.988636,3.5
2015-8-13 8:30:18,63.2,152.2,2.009759,2.034608,3.5
2015-8-13 8:30:20,63.2,152.1,1.895061,2.057594,3.5
2015-8-13 8:30:22,63.2,152.1,1.734482,2.057594,3.5
2015-8-13 8:30:23,63.2,152,1.516554,2.057594,3.5
2015-8-13 8:30:25,63.2,151.9,1.298627,1.942664,2.3875
2015-8-13 8:30:26,63.2,151.9,1.183928,1.816241,2.3875
2015-8-13 8:30:28,63.2,151.8,1.126578,1.712803,1.4975
2015-8-13 8:30:30,63.2,151.7,1.138048,1.609366,1.4975
2015-8-13 8:30:31,63.2,151.7,1.149518,1.505929,1.4975
2015-8-13 8:30:33,63.2,151.6,1.149518,1.402492,1.4975
2015-8-13 8:30:34,63.1,151.5,1.138048,1.299054,1.4975
2015-8-13 8:30:36,63.1,151.5,1.103639,1.230096,1.4975
2015-8-13 8:30:38,63.1,151.4,1.264217,1.195617,1.4975
2015-8-13 8:30:39,63.1,151.4,1.654193,1.172631,1.4975
2015-8-13 8:30:41,63.1,151.3,1.814771,1.172631,1.4975
2015-8-13 8:30:42,63.1,151.3,1.711542,1.184124,1.4975
2015-8-13 8:30:44,63.1,151.2,1.367446,1.149645,2.3875
2015-8-13 8:30:46,63.1,151.2,1.034819,1.126659,2.3875
2015-8-13 8:30:47,63.1,151.2,1.01188,1.413985,1.4975
2015-8-13 8:30:49,63.1,151.3,1.138048,1.781762,1.4975
2015-8-13 8:30:50,63.1,151.3,1.619783,1.862213,1.4975
2015-8-13 8:30:52,63.1,151.3,1.860651,1.712803,1.4975
2015-8-13 8:30:54,63.1,151.3,1.92947,1.425478,2.61
2015-8-13 8:30:55,63,151.3,1.860651,1.080687,2.61
2015-8-13 8:30:57,63,151.4,1.562434,1.000236,3.5
2015-8-13 8:30:58,63,151.4,1.596844,1.563394,3.5
2015-8-13 8:31:0,63,151.5,1.619783,1.908185,2.3875
2015-8-13 8:31:2,63,151.5,1.585374,1.747282,2.3875
2015-8-13 8:31:3,63.1,151.5,1.791832,1.517422,3.5
2015-8-13 8:31:5,63.1,151.6,1.665663,1.666831,3.5
2015-8-13 8:31:6,63.1,151.6,1.631253,1.574887,3.5
2015-8-13 8:31:8,63.1,151.7,1.505085,1.758775,3.5
2015-8-13 8:31:10,63.1,151.7,1.562434,1.678324,1.4975
