time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,RPM EXTR,RPM TRAC
2015-22-7-11:49:17,63.8,137.1,2.090049,0.000342,TRUE,TRUE,2,4.41056
2015-22-7-11:49:19,63.8,137.2,1.96388,0.000342,TRUE,TRUE,2,4.41056
2015-22-7-11:49:20,63.8,137.3,1.757422,1.459957,TRUE,TRUE,2,4.41056
2015-22-7-11:49:21,63.8,137.4,1.562434,1.908185,TRUE,TRUE,2,4.41056
2015-22-7-11:49:23,63.8,137.4,1.711542,1.85072,TRUE,TRUE,2,4.41056
2015-22-7-11:49:24,63.8,137.5,1.619783,1.689817,TRUE,TRUE,2,4.41056
2015-22-7-11:49:26,63.8,137.7,1.528024,1.597873,TRUE,TRUE,2,4.41056
2015-22-7-11:49:27,63.9,137.8,1.470675,1.724296,TRUE,TRUE,2,4.41056
2015-22-7-11:49:28,63.9,137.8,1.447735,1.643845,TRUE,TRUE,2,4.41056
2015-22-7-11:49:30,63.9,137.9,1.436265,1.574887,TRUE,TRUE,2,4.41056
2015-22-7-11:49:31,63.9,138,1.436265,1.540408,TRUE,TRUE,2,4.41056
2015-22-7-11:49:33,63.9,138.1,1.459205,1.540408,TRUE,TRUE,2,4.41056
2015-22-7-11:49:34,63.9,138.2,1.482145,1.482943,TRUE,TRUE,2,4.41056
2015-22-7-11:49:35,64,138.3,1.424795,1.413985,TRUE,TRUE,2,4.41056
2015-22-7-11:49:37,63.9,138.4,1.390386,1.402492,TRUE,TRUE,2,4.41056
2015-22-7-11:49:38,64,138.5,1.310097,1.436971,TRUE,TRUE,2,4.41056
2015-22-7-11:49:40,64,138.5,1.275687,1.413985,TRUE,TRUE,2,4.41056
2015-22-7-11:49:41,64,138.6,1.275687,1.32204,TRUE,TRUE,2,4.41056
2015-22-7-11:49:42,64,138.6,1.287157,1.241589,TRUE,TRUE,2,4.41056
2015-22-7-11:49:44,63.9,138.6,1.275687,1.195617,TRUE,TRUE,2,4.41056
2015-22-7-11:49:45,63.9,138.6,1.206868,1.241589,TRUE,TRUE,2,4.41056
2015-22-7-11:49:47,63.9,138.6,1.183928,1.276068,TRUE,TRUE,2,4.41056
2015-22-7-11:49:48,63.9,138.7,1.206868,1.253082,TRUE,TRUE,2,4.41056
2015-22-7-11:49:49,63.9,138.8,1.206868,1.172631,TRUE,TRUE,2,4.41056
2015-22-7-11:49:51,63.9,138.8,1.138048,1.138152,TRUE,TRUE,2,4.41056
2015-22-7-11:49:52,63.9,138.8,1.183928,1.161138,TRUE,TRUE,2,4.41056
2015-22-7-11:49:54,63.9,138.9,1.02335,1.138152,TRUE,TRUE,2,4.41056
2015-22-7-11:49:55,63.8,138.9,1.046289,1.09218,TRUE,TRUE,2,4.41056
2015-22-7-11:49:56,63.8,139,1.092169,1.09218,TRUE,TRUE,2,4.41056
2015-22-7-11:49:58,63.8,139,1.115109,0.988742,TRUE,TRUE,2,4.41056
2015-22-7-11:49:59,63.8,138.9,1.321566,1.023222,TRUE,TRUE,2,4.41056
2015-22-7-11:50:1,63.8,139,1.447735,1.069194,TRUE,TRUE,2,4.41056
2015-22-7-11:50:2,63.7,138.9,1.505085,1.126659,TRUE,TRUE,2,4.41056
2015-22-7-11:50:3,63.7,138.8,1.665663,1.356519,TRUE,TRUE,2,4.41056
2015-22-7-11:50:5,63.7,138.7,1.562434,1.505929,TRUE,TRUE,2,4.41056
2015-22-7-11:50:6,63.7,138.7,1.493615,1.58638,TRUE,TRUE,2,4.41056
2015-22-7-11:50:8,63.7,138.8,1.447735,1.724296,TRUE,TRUE,2,4.41056
2015-22-7-11:50:9,63.7,138.8,1.390386,1.643845,TRUE,TRUE,2,4.41056
2015-22-7-11:50:10,63.7,138.9,1.367446,1.563394,TRUE,TRUE,2,4.41056
2015-22-7-11:50:12,63.7,138.9,1.367446,1.517422,TRUE,TRUE,2,4.41056
2015-22-7-11:50:13,63.7,138.9,1.344506,1.448464,TRUE,TRUE,2,4.41056
2015-22-7-11:50:15,63.8,138.9,1.390386,1.425478,TRUE,TRUE,2,4.41056
2015-22-7-11:50:16,63.8,138.9,1.378916,1.425478,TRUE,TRUE,2,4.41056
2015-22-7-11:50:17,63.8,138.9,1.413326,1.425478,TRUE,TRUE,2,4.41056
2015-22-7-11:50:19,63.8,138.8,1.447735,1.436971,TRUE,TRUE,2,4.41056
2015-22-7-11:50:20,63.8,138.9,1.493615,1.425478,TRUE,TRUE,2,4.41056
2015-22-7-11:50:22,63.9,138.9,1.550964,1.448464,TRUE,TRUE,2,4.41056
2015-22-7-11:50:23,63.9,138.8,1.585374,1.459957,TRUE,TRUE,2,4.41056
