time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,PWM
1970-1-1-0:40:46,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:46,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:47,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:47,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:47,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:48,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:48,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:49,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:49,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:49,32.1,31.6,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:50,32.1,31.6,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:50,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:50,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:51,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:51,32.0,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:52,32.0,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:52,32.0,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:52,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:53,32.1,31.7,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:40:53,32.1,31.7,0.014,0.21871,TRUE,FALSE,0.0
1970-1-1-0:40:53,32.1,31.7,0.449855,1.080687,TRUE,FALSE,0.0
1970-1-1-0:40:54,32.0,31.7,1.149518,1.368012,TRUE,FALSE,0.0
1970-1-1-0:40:54,32.0,31.6,1.424795,1.47145,TRUE,FALSE,0.0
1970-1-1-0:40:54,32.0,31.6,1.528024,1.505929,TRUE,FALSE,0.0
1970-1-1-0:40:55,32.0,31.6,1.562434,1.528915,TRUE,FALSE,0.0
1970-1-1-0:40:55,32.0,31.6,1.596844,1.528915,TRUE,FALSE,0.0
1970-1-1-0:40:56,32.0,31.6,1.608313,1.528915,TRUE,FALSE,0.0
1970-1-1-0:40:56,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:40:56,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:40:57,32.1,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:40:57,32.1,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:40:58,32.1,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:40:58,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:40:58,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:40:59,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:40:59,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:40:59,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:0,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:0,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:1,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:1,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:1,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:2,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:2,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:3,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:3,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:3,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:4,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:4,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:4,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:5,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:5,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:5,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:6,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:6,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:7,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:7,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:7,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:8,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:8,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:8,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:9,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:9,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:10,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:10,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:10,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:11,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:11,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:11,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:12,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:12,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:12,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:13,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:13,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:14,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:14,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:14,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:15,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:15,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:15,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:16,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:16,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:16,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:17,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:17,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:17,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:18,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:18,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
