time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,RPM EXTR,RPM TRAC
2015-3-8-8:43:10,64,140,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:11,64,140,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:12,64,140,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:14,64.1,140,0.0369398,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:15,64.1,140,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:17,64.1,140,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:18,64.1,140.1,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:19,64.1,140.1,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:21,64.1,140,0.0484096,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:22,64.1,140,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:24,64.1,139.9,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:25,64.1,139.7,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:26,64,139.4,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:28,64.1,139.2,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:29,64,139,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:31,64.1,138.9,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:32,64.1,138.7,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:33,64.1,138.5,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:35,64,138.3,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:36,64.1,138.3,0.0369398,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:38,64.1,138.1,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:39,64,138.1,0.0713494,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:40,64.1,138.1,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:42,64.1,138.1,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:43,64.1,138.1,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:45,64.1,138.1,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:46,64,138.2,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:47,64,138.2,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:49,64,138.3,0.0369398,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:50,64,138.4,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:52,64,138.4,0.0254699,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:53,64,138.4,0.0598795,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:54,64,138.5,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:56,64,138.6,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:57,64,138.7,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:43:59,64,138.8,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:0,64,138.9,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:1,64,139,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:3,64,139.1,0.0369398,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:4,64,139.1,0.0254699,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:6,64.1,139.2,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:7,64.1,139.2,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:9,64.1,139.2,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:10,64.2,139.2,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:11,64.2,139.2,0.0828193,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:13,64.1,139.1,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:14,64.2,139.1,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:16,64.2,139.1,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:17,64.2,139,0.0484096,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:18,64.2,138.9,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:20,64.2,138.7,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:21,64.2,138.6,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:23,64.2,138.6,0.0713494,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:24,64.2,138.6,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:25,64.2,138.6,0.0828193,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:27,64.2,138.5,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:28,64.2,138.4,0.0484096,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:30,64.2,138.3,0.0254699,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:31,64.2,138.2,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:32,64.2,138,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:34,64.2,138,0.0369398,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:35,64.2,138,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:37,64.2,138,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:38,64.2,138,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:39,64.2,137.9,0.0254699,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:41,64.2,137.9,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:42,64.2,137.8,0.0713494,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:44,64.2,137.7,0.0713494,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:45,64.2,137.7,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:46,64.2,137.7,0.014,0.000342,TRUE,TRUE,2,3.219072
2015-3-8-8:44:48,64.2,137.7,0.014,0.000342,TRUE,TRUE,2,3.219072
