time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,RPM EXTR,RPM TRAC
1,64,140,0.014,0.000342,TRUE,TRUE,2,3.219072
2,64,140,0.014,0.000342,TRUE,TRUE,2,3.219072
3,64,140,0.014,0.000342,TRUE,TRUE,2,3.219072
4,64.1,140,0.0369398,0.000342,TRUE,TRUE,2,3.219072
5,64.1,140,0.014,0.000342,TRUE,TRUE,2,3.219072
6,64.1,140,0.014,0.000342,TRUE,TRUE,2,3.219072
7,64.1,140.1,0.014,0.000342,TRUE,TRUE,2,3.219072
8,64.1,140.1,0.014,0.000342,TRUE,TRUE,2,3.219072
9,64.1,140,0.0484096,0.000342,TRUE,TRUE,2,3.219072
10,64.1,140,0.014,0.000342,TRUE,TRUE,2,3.219072
11,64.1,139.9,0.014,0.000342,TRUE,TRUE,2,3.219072
12,64.1,139.7,0.014,0.000342,TRUE,TRUE,2,3.219072
13,64,139.4,0.014,0.000342,TRUE,TRUE,2,3.219072
14,64.1,139.2,0.014,0.000342,TRUE,TRUE,2,3.219072
15,64,139,0.014,0.000342,TRUE,TRUE,2,3.219072
16,64.1,138.9,0.014,0.000342,TRUE,TRUE,2,3.219072
17,64.1,138.7,0.014,0.000342,TRUE,TRUE,2,3.219072
18,64.1,138.5,0.014,0.000342,TRUE,TRUE,2,3.219072
19,64,138.3,0.014,0.000342,TRUE,TRUE,2,3.219072
20,64.1,138.3,0.0369398,0.000342,TRUE,TRUE,2,3.219072
21,64.1,138.1,0.014,0.000342,TRUE,TRUE,2,3.219072
22,64,138.1,0.0713494,0.000342,TRUE,TRUE,2,3.219072
23,64.1,138.1,0.014,0.000342,TRUE,TRUE,2,3.219072
24,64.1,138.1,0.014,0.000342,TRUE,TRUE,2,3.219072
25,64.1,138.1,0.014,0.000342,TRUE,TRUE,2,3.219072
26,64.1,138.1,0.014,0.000342,TRUE,TRUE,2,3.219072
27,64,138.2,0.014,0.000342,TRUE,TRUE,2,3.219072
28,64,138.2,0.014,0.000342,TRUE,TRUE,2,3.219072
29,64,138.3,0.0369398,0.000342,TRUE,TRUE,2,3.219072
30,64,138.4,0.014,0.000342,TRUE,TRUE,2,3.219072
31,64,138.4,0.0254699,0.000342,TRUE,TRUE,2,3.219072
32,64,138.4,0.0598795,0.000342,TRUE,TRUE,2,3.219072
33,64,138.5,0.014,0.000342,TRUE,TRUE,2,3.219072
34,64,138.6,0.014,0.000342,TRUE,TRUE,2,3.219072
35,64,138.7,0.014,0.000342,TRUE,TRUE,2,3.219072
36,64,138.8,0.014,0.000342,TRUE,TRUE,2,3.219072
37,64,138.9,0.014,0.000342,TRUE,TRUE,2,3.219072
38,64,139,0.014,0.000342,TRUE,TRUE,2,3.219072
39,64,139.1,0.0369398,0.000342,TRUE,TRUE,2,3.219072
40,64,139.1,0.0254699,0.000342,TRUE,TRUE,2,3.219072
41,64.1,139.2,0.014,0.000342,TRUE,TRUE,2,3.219072
42,64.1,139.2,0.014,0.000342,TRUE,TRUE,2,3.219072
43,64.1,139.2,0.014,0.000342,TRUE,TRUE,2,3.219072
44,64.2,139.2,0.014,0.000342,TRUE,TRUE,2,3.219072
45,64.2,139.2,0.0828193,0.000342,TRUE,TRUE,2,3.219072
46,64.1,139.1,0.014,0.000342,TRUE,TRUE,2,3.219072
47,64.2,139.1,0.014,0.000342,TRUE,TRUE,2,3.219072
48,64.2,139.1,0.014,0.000342,TRUE,TRUE,2,3.219072
49,64.2,139,0.0484096,0.000342,TRUE,TRUE,2,3.219072
50,64.2,138.9,0.014,0.000342,TRUE,TRUE,2,3.219072
51,64.2,138.7,0.014,0.000342,TRUE,TRUE,2,3.219072
52,64.2,138.6,0.014,0.000342,TRUE,TRUE,2,3.219072
53,64.2,138.6,0.0713494,0.000342,TRUE,TRUE,2,3.219072
54,64.2,138.6,0.014,0.000342,TRUE,TRUE,2,3.219072
55,64.2,138.6,0.0828193,0.000342,TRUE,TRUE,2,3.219072
56,64.2,138.5,0.014,0.000342,TRUE,TRUE,2,3.219072
57,64.2,138.4,0.0484096,0.000342,TRUE,TRUE,2,3.219072
58,64.2,138.3,0.0254699,0.000342,TRUE,TRUE,2,3.219072
59,64.2,138.2,0.014,0.000342,TRUE,TRUE,2,3.219072
60,64.2,138,0.014,0.000342,TRUE,TRUE,2,3.219072
61,64.2,138,0.0369398,0.000342,TRUE,TRUE,2,3.219072
62,64.2,138,0.014,0.000342,TRUE,TRUE,2,3.219072
63,64.2,138,0.014,0.000342,TRUE,TRUE,2,3.219072
64,64.2,138,0.014,0.000342,TRUE,TRUE,2,3.219072
65,64.2,137.9,0.0254699,0.000342,TRUE,TRUE,2,3.219072
66,64.2,137.9,0.014,0.000342,TRUE,TRUE,2,3.219072
67,64.2,137.8,0.0713494,0.000342,TRUE,TRUE,2,3.219072
68,64.2,137.7,0.0713494,0.000342,TRUE,TRUE,2,3.219072
69,64.2,137.7,0.014,0.000342,TRUE,TRUE,2,3.219072
70,64.2,137.7,0.014,0.000342,TRUE,TRUE,2,3.219072
71,64.2,137.7,0.014,0.000342,TRUE,TRUE,2,3.219072
72,64.2,137.7,0.0713494,0.000342,TRUE,TRUE,2,3.219072
73,64.2,137.7,0.014,0.000342,TRUE,TRUE,2,3.219072
74,64.2,137.8,0.0254699,0.000342,TRUE,TRUE,2,3.219072
75,64.1,137.8,0.163108,0.000342,TRUE,TRUE,2,3.219072
76,64.1,137.8,0.014,0.000342,TRUE,TRUE,2,3.219072
77,64.1,137.8,0.014,0.000342,TRUE,TRUE,2,3.219072
78,64.1,137.7,0.014,0.000342,TRUE,TRUE,2,3.219072
79,64.1,137.7,0.014,0.000342,TRUE,TRUE,2,3.219072
80,64.1,137.7,0.117229,0.000342,TRUE,TRUE,2,3.219072
81,64,137.8,0.014,0.000342,TRUE,TRUE,2,3.219072
82,64,137.9,0.128699,0.000342,TRUE,TRUE,2,3.219072
83,64,137.9,0.014,0.000342,TRUE,TRUE,2,3.219072
84,64,138,0.117229,0.000342,TRUE,TRUE,2,3.219072
85,64,137.9,0.014,0.000342,TRUE,TRUE,2,3.219072
86,63.9,137.9,0.0598795,0.000342,TRUE,TRUE,2,3.219072
87,63.9,137.9,0.0484096,0.000342,TRUE,TRUE,2,3.219072
88,63.9,138,0.140169,0.000342,TRUE,TRUE,2,3.219072
89,63.9,138,0.151639,0.000342,TRUE,TRUE,2,3.219072
90,63.8,138,0.208988,0.000342,TRUE,TRUE,2,3.219072
91,63.8,138.1,0.0942892,0.000342,TRUE,TRUE,2,3.219072
92,63.8,138.2,0.014,0.000342,TRUE,TRUE,2,3.219072
93,63.8,138.3,0.174578,0.000342,TRUE,TRUE,2,3.219072
94,63.8,138.4,0.014,0.000342,TRUE,TRUE,2,3.219072
95,63.8,138.4,0.174578,0.000342,TRUE,TRUE,2,3.219072
96,63.8,138.4,0.140169,0.000342,TRUE,TRUE,2,3.219072
97,63.8,138.4,0.0254699,0.000342,TRUE,TRUE,2,3.219072
98,63.8,138.4,0.140169,0.000342,TRUE,TRUE,2,3.219072
99,63.8,138.4,0.0598795,0.000342,TRUE,TRUE,2,3.219072
100,63.8,138.4,0.014,0.000342,TRUE,TRUE,2,3.219072
101,63.8,138.4,0.014,0.000342,TRUE,TRUE,2,3.219072
102,63.7,138.4,0.014,0.000342,TRUE,TRUE,2,3.219072
103,63.7,138.5,0.117229,0.000342,TRUE,TRUE,2,3.219072
104,63.7,138.5,0.0254699,0.000342,TRUE,TRUE,2,3.219072
105,63.7,138.5,0.0484096,0.000342,TRUE,TRUE,2,3.219072
106,63.7,138.5,0.128699,0.000342,TRUE,TRUE,2,3.219072
107,63.7,138.6,0.0713494,0.000342,TRUE,TRUE,2,3.219072
108,63.7,138.6,0.014,0.000342,TRUE,TRUE,2,3.219072
109,63.7,138.6,0.014,0.000342,TRUE,TRUE,2,3.219072
110,63.7,138.7,0.0484096,0.000342,TRUE,TRUE,2,3.219072
111,63.8,138.7,0.0713494,0.000342,TRUE,TRUE,2,3.219072
112,63.8,138.6,0.0942892,0.000342,TRUE,TRUE,2,3.219072
113,63.9,138.5,0.0484096,0.000342,TRUE,TRUE,2,3.219072
114,63.9,138.3,0.0254699,0.000342,TRUE,TRUE,2,3.219072
115,63.9,138.2,0.0828193,0.000342,TRUE,TRUE,2,3.219072
116,63.9,138.1,0.0369398,0.000342,TRUE,TRUE,2,3.219072
117,63.9,138.1,0.014,0.000342,TRUE,TRUE,2,3.219072
118,63.9,137.9,0.0254699,0.000342,TRUE,TRUE,2,3.219072
119,63.9,137.8,0.0484096,0.000342,TRUE,TRUE,2,3.219072
120,63.9,137.6,0.0713494,0.000342,TRUE,TRUE,2,3.219072
121,63.9,137.5,0.140169,0.000342,TRUE,TRUE,2,3.219072
122,63.9,137.4,0.014,0.000342,TRUE,TRUE,2,3.219072
123,64,137.4,0.0369398,0.000342,TRUE,TRUE,2,3.219072
124,63.9,137.3,0.0828193,0.000342,TRUE,TRUE,2,3.219072
125,63.9,137.3,0.0254699,0.000342,TRUE,TRUE,2,3.219072
126,63.9,137.3,0.0369398,0.000342,TRUE,TRUE,2,3.219072
127,63.9,137.3,0.117229,0.000342,TRUE,TRUE,2,3.219072
128,63.9,137.3,0.0369398,0.000342,TRUE,TRUE,2,3.219072
129,63.9,137.3,0.0484096,0.000342,TRUE,TRUE,2,3.219072
130,63.9,137.3,0.0713494,0.000342,TRUE,TRUE,2,3.219072
131,63.9,137.3,0.0713494,0.000342,TRUE,TRUE,2,3.219072
132,63.9,137.3,0.0713494,0.000342,TRUE,TRUE,2,3.219072
133,63.9,137.3,0.0713494,0.000342,TRUE,TRUE,2,3.219072
134,63.8,137.3,0.128699,0.000342,TRUE,TRUE,2,3.219072
135,63.8,137.3,0.0713494,0.000342,TRUE,TRUE,2,3.219072
136,63.8,137.3,0.014,0.000342,TRUE,TRUE,2,3.219072
137,63.8,137.4,0.0369398,0.000342,TRUE,TRUE,2,3.219072
138,63.8,137.4,0.117229,0.000342,TRUE,TRUE,2,3.219072
139,63.7,137.5,0.105759,0.000342,TRUE,TRUE,2,3.219072
140,63.7,137.6,0.0369398,0.000342,TRUE,TRUE,2,3.219072
141,63.7,137.7,0.186048,0.000342,TRUE,TRUE,2,3.219072
142,63.7,137.7,0.0942892,0.000342,TRUE,TRUE,2,3.219072
143,63.7,137.7,0.117229,0.000342,TRUE,TRUE,2,3.219072
144,63.7,137.8,0.0942892,0.000342,TRUE,TRUE,2,3.219072
145,63.7,137.9,0.0828193,0.000342,TRUE,TRUE,2,3.219072
146,63.7,138,0.266337,0.000342,TRUE,TRUE,2,3.219072
147,63.7,138,0.151639,0.000342,TRUE,TRUE,2,3.219072
148,63.7,138.2,0.105759,0.000342,TRUE,TRUE,2,3.219072
149,63.7,138.3,0.0828193,0.000342,TRUE,TRUE,2,3.219072
150,63.7,138.3,0.0484096,0.000342,TRUE,TRUE,2,3.219072
151,63.7,138.3,0.105759,0.000342,TRUE,TRUE,2,3.219072
152,63.7,138.4,0.0942892,0.000342,TRUE,TRUE,2,3.219072
153,63.7,138.5,0.197518,0.000342,TRUE,TRUE,2,3.219072
154,63.7,138.5,0.117229,0.000342,TRUE,TRUE,2,3.219072
155,63.7,138.6,0.0598795,0.000342,TRUE,TRUE,2,3.219072
156,63.7,138.7,0.014,0.000342,TRUE,TRUE,2,3.219072
157,63.7,138.8,0.0828193,0.000342,TRUE,TRUE,2,3.219072
158,63.7,138.8,0.014,0.000342,TRUE,TRUE,2,3.219072
159,63.7,138.9,0.105759,0.000342,TRUE,TRUE,2,3.219072
160,63.7,138.9,0.0484096,0.000342,TRUE,TRUE,2,3.219072
161,63.7,138.9,0.105759,0.000342,TRUE,TRUE,2,3.219072
162,63.7,138.9,0.208988,0.000342,TRUE,TRUE,2,3.219072
163,63.7,138.9,0.243398,0.000342,TRUE,TRUE,2,3.219072
164,63.7,139,0.0713494,0.000342,TRUE,TRUE,2,3.219072
165,63.7,139,0.186048,0.000342,TRUE,TRUE,2,3.219072
166,63.7,139,0.128699,0.000342,TRUE,TRUE,2,3.219072
167,63.7,139,0.0713494,0.000342,TRUE,TRUE,2,3.219072
168,63.7,139.1,0.0254699,0.000342,TRUE,TRUE,2,3.219072
169,63.7,139.2,0.0484096,0.000342,TRUE,TRUE,2,3.219072
170,63.7,139.2,0.105759,0.000342,TRUE,TRUE,2,3.219072
171,63.7,139.1,0.128699,0.000342,TRUE,TRUE,2,3.219072
172,63.7,139,0.208988,0.000342,TRUE,TRUE,2,3.219072
173,63.7,138.9,0.0942892,0.000342,TRUE,TRUE,2,3.219072
174,63.7,138.8,0.128699,0.000342,TRUE,TRUE,2,3.219072
175,63.7,138.7,0.117229,0.000342,TRUE,TRUE,2,3.219072
176,63.7,138.6,0.117229,0.000342,TRUE,TRUE,2,3.219072
177,63.6,138.6,0.117229,0.000342,TRUE,TRUE,2,3.219072
178,63.6,138.5,0.140169,0.000342,TRUE,TRUE,2,3.219072
