time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,VELOCIDAD
1970-1-1-0:1:6,24.6,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:8,24.6,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:9,24.6,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:11,24.6,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:12,24.6,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:13,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:15,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:16,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:18,24.6,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:19,24.6,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:20,24.6,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:22,24.6,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:23,24.6,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:25,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:26,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:27,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:29,24.6,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:30,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:32,24.6,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:33,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:34,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:36,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:37,24.5,24.8,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:39,24.5,24.8,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:40,24.6,24.9,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:41,24.5,24.9,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:43,24.5,25.0,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:44,24.5,25.1,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:46,24.5,25.1,0.014,3.42e-4,TRUE,TRUE,0.0
1970-1-1-0:1:47,24.5,25.2,0.014,3.42e-4,TRUE,TRUE,0.0
