time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MEDIA,MARCHA,PARO,VELOCIDAD,,
2015-14-7-9:49:48,60.4,136.7,1.149518,1.161138,1.8171486725,TRUE,FALSE,0.75,,
2015-14-7-9:49:50,60.4,136.8,1.138048,1.172631,1.7254564915,TRUE,FALSE,0.75,,
2015-14-7-9:49:51,60.4,136.8,1.115109,1.161138,1.7613201906,TRUE,FALSE,0.75,,
2015-14-7-9:49:52,60.4,136.8,1.069229,1.149645,1.7114434959,TRUE,FALSE,0.75,,
2015-14-7-9:49:54,60.3,136.7,1.034819,1.138152,1.7068136275,TRUE,FALSE,0.75,,
2015-14-7-9:49:55,60.3,136.6,1.00041,1.126659,1.8949141472,TRUE,FALSE,0.75,,
2015-14-7-9:49:57,60.3,136.5,1.02335,1.103673,1.7276016918,TRUE,FALSE,0.75,,
2015-14-7-9:49:58,60.3,136.3,1.069229,1.046208,1.8980143202,TRUE,FALSE,0.75,,
2015-14-7-9:49:59,60.3,136.2,1.103639,1.011729,1.7663553696,TRUE,FALSE,0.75,,
2015-14-7-9:50:1,60.3,136.2,1.149518,1.000236,1.8293622423,TRUE,FALSE,0.75,,
2015-14-7-9:50:2,60.3,136.1,1.138048,1.000236,1.8479083845,TRUE,FALSE,0.75,,
2015-14-7-9:50:4,60.3,136.2,1.138048,1.034715,1.7218473245,TRUE,FALSE,0.75,,
2015-14-7-9:50:5,60.3,136.2,1.138048,1.057701,1.8320739444,TRUE,FALSE,0.75,,
2015-14-7-9:50:6,60.3,136.2,1.126578,1.103673,1.7525204815,TRUE,FALSE,0.75,,
2015-14-7-9:50:8,60.3,136.1,1.149518,1.103673,1.7014022926,TRUE,FALSE,0.75,,
2015-14-7-9:50:9,60.3,136.2,1.218338,1.115166,1.8016277937,TRUE,FALSE,0.75,,
2015-14-7-9:50:11,60.3,136.2,1.264217,1.09218,1.7165606012,TRUE,FALSE,0.75,,
2015-14-7-9:50:12,60.3,136.1,1.287157,1.103673,1.7532069975,TRUE,FALSE,0.75,,
2015-14-7-9:50:13,60.4,136,1.333036,1.126659,1.780307535,TRUE,FALSE,0.75,,
2015-14-7-9:50:15,60.4,136,1.344506,1.172631,1.763358953,TRUE,FALSE,0.75,,
2015-14-7-9:50:16,60.4,136,1.390386,1.195617,1.7796091867,TRUE,FALSE,0.75,,
2015-14-7-9:50:18,60.5,136,1.378916,1.230096,1.8620103513,TRUE,FALSE,0.75,,
2015-14-7-9:50:19,60.5,136,1.367446,1.264575,1.7050263117,TRUE,FALSE,0.75,,
2015-14-7-9:50:20,60.5,136,1.310097,1.299054,1.7356060434,TRUE,FALSE,0.75,,
2015-14-7-9:50:22,60.6,135.9,1.126578,1.32204,1.7549367758,TRUE,FALSE,0.75,,
2015-14-7-9:50:23,60.5,135.9,1.149518,1.356519,1.884819569,TRUE,FALSE,0.75,,
2015-14-7-9:50:25,60.6,135.9,1.310097,1.356519,1.800765614,TRUE,FALSE,0.75,,
2015-14-7-9:50:26,60.6,135.9,1.390386,1.299054,1.7015050193,TRUE,FALSE,0.75,,
2015-14-7-9:50:27,60.5,135.8,1.390386,1.126659,1.8567301645,TRUE,FALSE,0.75,,
2015-14-7-9:50:29,60.5,135.8,1.378916,1.149645,1.8939341778,TRUE,FALSE,0.75,,
2015-14-7-9:50:30,60.5,135.8,1.333036,1.287561,1.8431878716,TRUE,FALSE,0.75,,
2015-14-7-9:50:32,60.5,135.8,1.344506,1.345026,1.7386450358,TRUE,FALSE,0.75,,
2015-14-7-9:50:33,60.5,135.6,1.436265,1.356519,1.7690571295,TRUE,FALSE,0.75,,
2015-14-7-9:50:34,60.5,135.6,1.470675,1.345026,1.7166513109,TRUE,FALSE,0.75,,
2015-14-7-9:50:36,60.5,135.6,1.470675,1.345026,1.8008950876,TRUE,FALSE,0.75,,
