time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,RPM EXTR,RPM TRAC
2015-8-18 14:8:10,60.7,151.9,1.00041,0.000342,TRUE,TRUE,0,1.4975
2015-8-18 14:8:11,60.8,152,1.057759,0.000342,TRUE,TRUE,0,1.4975
2015-8-18 14:8:13,60.8,152.2,1.138048,0.000342,TRUE,TRUE,0,1.4975
2015-8-18 14:8:14,60.8,152.3,1.298627,0.000342,TRUE,TRUE,0,1.4975
2015-8-18 14:8:16,60.9,152.3,1.401856,0.000342,TRUE,TRUE,0,1.4975
2015-8-18 14:8:18,60.9,152.4,1.424795,0.345133,TRUE,TRUE,0,1.4975
2015-8-18 14:8:19,60.9,152.5,1.413326,0.816347,TRUE,TRUE,0,1.4975
2015-8-18 14:8:21,60.9,152.5,1.447735,0.977249,TRUE,TRUE,0,1.4975
2015-8-18 14:8:22,60.9,152.5,1.413326,1.011729,TRUE,TRUE,0,1.4975
2015-8-18 14:8:24,61,152.6,1.424795,1.149645,TRUE,TRUE,0,1.4975
2015-8-18 14:8:26,61,152.6,1.390386,1.379506,TRUE,TRUE,0,1.4975
2015-8-18 14:8:27,61,152.6,1.333036,1.47145,TRUE,TRUE,0,1.4975
2015-8-18 14:8:29,61,152.6,1.287157,1.459957,TRUE,TRUE,0,1.4975
2015-8-18 14:8:30,61,152.6,1.183928,1.402492,TRUE,TRUE,0,1.4975
2015-8-18 14:8:32,61,152.6,1.126578,1.413985,TRUE,TRUE,0,1.4975
2015-8-18 14:8:34,61,152.6,1.057759,1.390998,TRUE,TRUE,0,1.4975
2015-8-18 14:8:35,61,152.6,1.115109,1.368012,TRUE,TRUE,0,1.4975
2015-8-18 14:8:37,61,152.5,1.413326,1.333533,TRUE,TRUE,0,1.4975
2015-8-18 14:8:38,61,152.5,1.505085,1.276068,TRUE,TRUE,0,1.4975
2015-8-18 14:8:40,61,152.4,1.562434,1.230096,TRUE,TRUE,0,1.4975
2015-8-18 14:8:42,61,152.3,1.516554,1.161138,TRUE,TRUE,0,1.4975
2015-8-18 14:8:43,61,152.3,1.447735,1.09218,TRUE,TRUE,0,1.4975
2015-8-18 14:8:45,61.1,152.3,1.482145,1.046208,TRUE,TRUE,0,1.4975
2015-8-18 14:8:46,61,152.2,1.528024,1.184124,TRUE,TRUE,0,1.4975
2015-8-18 14:8:48,61,152.1,1.562434,1.459957,TRUE,TRUE,0,1.4975
2015-8-18 14:8:50,61.1,152,1.596844,1.540408,TRUE,TRUE,0,1.4975
2015-8-18 14:8:51,61,152,1.734482,1.597873,TRUE,TRUE,0,1.4975
2015-8-18 14:8:53,61.1,151.9,1.745952,1.574887,TRUE,TRUE,0,1.4975
2015-8-18 14:8:54,61.1,151.8,1.791832,1.482943,TRUE,TRUE,0,1.4975
2015-8-18 14:8:56,61.1,151.7,1.895061,1.482943,TRUE,TRUE,0,2.3875
2015-8-18 14:8:58,61.1,151.7,1.92947,1.574887,TRUE,TRUE,0,2.3875
2015-8-18 14:8:59,61.1,151.6,1.998289,1.597873,TRUE,TRUE,0,3.5
2015-8-18 14:9:1,61.2,151.6,2.021229,1.758775,TRUE,TRUE,0,3.5
2015-8-18 14:9:2,61.2,151.5,2.009759,1.827734,TRUE,TRUE,0,3.5
2015-8-18 14:9:4,61.2,151.5,2.055639,1.96565,TRUE,TRUE,0,3.5
2015-8-18 14:9:6,61.2,151.5,2.044169,2.046101,TRUE,TRUE,0,3.5
2015-8-18 14:9:7,61.2,151.5,2.112988,2.046101,TRUE,TRUE,0,3.5
2015-8-18 14:9:9,61.2,151.5,2.090049,2.069087,TRUE,TRUE,0,3.5
2015-8-18 14:9:10,61.2,151.5,2.055639,2.057594,TRUE,TRUE,0,3.5
2015-8-18 14:9:12,61.2,151.5,2.147398,2.103566,TRUE,TRUE,0,3.5
2015-8-18 14:9:14,61.2,151.5,2.193277,2.103566,TRUE,TRUE,0,3.5
2015-8-18 14:9:15,61.2,151.5,2.204747,2.057594,TRUE,TRUE,0,3.5
2015-8-18 14:9:17,61.2,151.5,2.216217,2.126552,TRUE,TRUE,0,3.5
2015-8-18 14:9:18,61.2,151.5,2.250627,2.126552,TRUE,TRUE,0,3.5
2015-8-18 14:9:20,61.3,151.6,2.319446,2.126552,TRUE,TRUE,0,3.5
2015-8-18 14:9:22,61.3,151.6,2.342386,2.103566,TRUE,TRUE,0,3.5
2015-8-18 14:9:23,61.3,151.7,2.342386,2.149539,TRUE,TRUE,0,3.5
2015-8-18 14:9:25,61.3,151.7,2.342386,2.207004,TRUE,TRUE,0,3.5
2015-8-18 14:9:26,61.3,151.8,2.353856,2.22999,TRUE,TRUE,0,3.5
2015-8-18 14:9:28,61.3,151.8,2.365326,2.22999,TRUE,TRUE,0,3.5
2015-8-18 14:9:30,61.3,151.9,2.307976,2.218497,TRUE,TRUE,0,3.5
2015-8-18 14:9:31,61.3,151.9,2.227687,2.184017,TRUE,TRUE,0,3.5
2015-8-18 14:9:33,61.3,152,2.170338,2.287455,TRUE,TRUE,0,3.5
2015-8-18 14:9:34,61.3,152,2.090049,2.310441,TRUE,TRUE,0,3.5
2015-8-18 14:9:36,61.3,152,2.124458,2.333427,TRUE,TRUE,0,3.5
2015-8-18 14:9:38,61.3,152,2.170338,2.241483,TRUE,TRUE,0,3.5
2015-8-18 14:9:39,61.3,152,2.216217,2.149539,TRUE,TRUE,0,3.5
2015-8-18 14:9:41,61.4,152,2.216217,2.092073,TRUE,TRUE,0,3.5
2015-8-18 14:9:42,61.3,152,2.216217,2.069087,TRUE,TRUE,0,3.5
2015-8-18 14:9:44,61.4,152,2.181808,2.08058,TRUE,TRUE,0,3.5
2015-8-18 14:9:46,61.4,152,2.181808,2.103566,TRUE,TRUE,0,3.5
2015-8-18 14:9:47,61.4,151.9,2.216217,2.115059,TRUE,TRUE,0,3.5
2015-8-18 14:9:49,61.4,151.9,2.193277,2.08058,TRUE,TRUE,0,3.5
2015-8-18 14:9:50,61.4,151.8,2.101518,2.023115,TRUE,TRUE,0,3.5
2015-8-18 14:9:52,61.4,151.8,2.021229,2.011622,TRUE,TRUE,0,3.5
2015-8-18 14:9:54,61.4,151.8,1.97535,2.023115,TRUE,TRUE,0,3.5
2015-8-18 14:9:55,61.4,151.7,1.96388,1.977143,TRUE,TRUE,0,3.5
2015-8-18 14:9:57,61.4,151.7,1.96388,1.931171,TRUE,TRUE,0,3.5
2015-8-18 14:9:58,61.4,151.6,1.98682,1.919678,TRUE,TRUE,0,3.5
2015-8-18 14:10:0,61.4,151.5,2.021229,1.919678,TRUE,TRUE,0,3.5
2015-8-18 14:10:2,61.5,151.5,2.032699,1.919678,TRUE,TRUE,0,3.5
2015-8-18 14:10:3,61.5,151.4,2.067109,1.931171,TRUE,TRUE,0,3.5
2015-8-18 14:10:5,61.5,151.3,2.078579,1.942664,TRUE,TRUE,0,3.5
2015-8-18 14:10:6,61.5,151.3,2.078579,1.954157,TRUE,TRUE,0,3.5
2015-8-18 14:10:8,61.5,151.2,2.078579,2.000129,TRUE,TRUE,0,3.5
