time,Tmp Husillo [C],Tmp Nozzle [C],Diametro X [mm],Diametro Y [mm],MARCHA,PARO,RPM
2015-20-7-10:4:25,24,24.2,1.73,1.69,TRUE,FALSE,3.219
2015-20-7-10:4:26,24,24.2,1.73,1.69,TRUE,FALSE,3.219
2015-20-7-10:4:28,24,24.2,1.72,1.7,TRUE,FALSE,3.219
2015-20-7-10:4:29,24,24.2,1.72,1.71,TRUE,FALSE,3.219
2015-20-7-10:4:31,24,24.2,1.73,1.71,TRUE,FALSE,3.219
2015-20-7-10:4:32,24,24.2,1.73,1.72,TRUE,FALSE,3.219
2015-20-7-10:4:33,24,24.2,1.75,1.72,TRUE,FALSE,3.219
2015-20-7-10:4:35,24,24.2,1.75,1.71,TRUE,FALSE,3.219
2015-20-7-10:4:36,24,24.2,1.73,1.72,TRUE,FALSE,3.219
2015-20-7-10:4:38,24,24.2,1.75,1.72,TRUE,FALSE,3.219
2015-20-7-10:4:39,24,24.2,1.75,1.72,TRUE,FALSE,3.219
2015-20-7-10:4:40,24,24.2,1.75,1.74,TRUE,FALSE,3.219
2015-20-7-10:4:42,24,24.2,1.75,1.72,TRUE,FALSE,3.219
2015-20-7-10:4:43,24,24.2,1.75,1.72,TRUE,FALSE,3.219
2015-20-7-10:4:45,24,24.2,1.75,1.72,TRUE,FALSE,3.219
2015-20-7-10:4:46,24,24.2,1.75,1.74,TRUE,FALSE,3.219
2015-20-7-10:4:47,24,24.2,1.75,1.72,TRUE,FALSE,3.219
2015-20-7-10:4:49,24,24.1,1.75,1.72,TRUE,FALSE,3.219
2015-20-7-10:4:50,24,24.2,1.75,1.72,TRUE,FALSE,3.219
2015-20-7-10:4:52,24,24.1,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:4:53,24,24.2,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:4:54,24,24.2,1.73,1.74,TRUE,FALSE,3.219
2015-20-7-10:4:56,24,24.2,1.75,1.74,TRUE,FALSE,3.219
2015-20-7-10:4:57,24,24.2,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:4:59,24,24.2,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:5:0,24,24.2,1.75,1.76,TRUE,FALSE,3.219
2015-20-7-10:5:1,24,24.2,1.75,1.74,TRUE,FALSE,3.219
2015-20-7-10:5:3,24,24.2,1.75,1.75,TRUE,FALSE,3.219
