time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,VELOCIDAD
2015-20-7-11:2:53,60.8,140,1.42,1.44,TRUE,FALSE,0.5
2015-20-7-11:2:54,60.8,140,1.54,1.38,TRUE,FALSE,0.5
2015-20-7-11:2:56,60.7,140.1,1.56,1.32,TRUE,FALSE,0.5
2015-20-7-11:2:57,60.7,140.1,1.57,1.35,TRUE,FALSE,0.5
2015-20-7-11:2:59,60.7,140.1,1.54,1.49,TRUE,FALSE,0.5
2015-20-7-11:3:0,60.7,140.1,1.53,1.59,TRUE,FALSE,0.5
2015-20-7-11:3:1,60.7,140.2,1.54,1.61,TRUE,FALSE,0.5
2015-20-7-11:3:3,60.7,140.2,1.53,1.60,TRUE,FALSE,0.5
2015-20-7-11:3:4,60.7,140.3,1.51,1.60,TRUE,FALSE,0.5
2015-20-7-11:3:6,60.7,140.2,1.51,1.60,TRUE,FALSE,0.5
2015-20-7-11:3:7,60.7,140.2,1.53,1.57,TRUE,FALSE,0.5
2015-20-7-11:3:8,60.7,140.1,1.52,1.57,TRUE,FALSE,0.5
2015-20-7-11:3:10,60.7,140,1.51,1.56,TRUE,FALSE,0.5
2015-20-7-11:3:11,60.8,139.9,1.49,1.57,TRUE,FALSE,0.5
2015-20-7-11:3:13,60.7,139.8,1.51,1.55,TRUE,FALSE,0.5
2015-20-7-11:3:14,60.8,139.8,1.53,1.55,TRUE,FALSE,0.5
2015-20-7-11:3:15,60.8,139.6,1.56,1.53,TRUE,FALSE,0.5
2015-20-7-11:3:17,60.8,139.6,1.57,1.54,TRUE,FALSE,0.5
2015-20-7-11:3:18,60.9,139.6,1.61,1.57,TRUE,FALSE,0.5
2015-20-7-11:3:20,60.9,139.6,1.57,1.62,TRUE,FALSE,0.5
2015-20-7-11:3:21,60.9,139.5,1.54,1.67,TRUE,FALSE,0.5
2015-20-7-11:3:22,60.9,139.4,1.53,1.69,TRUE,FALSE,0.5
2015-20-7-11:3:24,60.8,139.4,1.53,1.69,TRUE,FALSE,0.5
2015-20-7-11:3:25,60.8,139.3,1.46,1.67,TRUE,FALSE,0.5
2015-20-7-11:3:27,60.8,139.3,1.38,1.62,TRUE,FALSE,0.5
2015-20-7-11:3:28,60.8,139.2,1.37,1.61,TRUE,FALSE,0.5
2015-20-7-11:3:29,60.7,139.2,1.54,1.57,TRUE,FALSE,0.5
2015-20-7-11:3:31,60.7,139.1,1.56,1.52,TRUE,FALSE,0.5
2015-20-7-11:3:32,60.7,139,1.53,1.45,TRUE,FALSE,0.5
2015-20-7-11:3:34,60.7,139,1.46,1.45,TRUE,FALSE,0.5
2015-20-7-11:3:35,60.7,139,1.44,1.57,TRUE,FALSE,0.5
2015-20-7-11:3:36,60.7,139.1,1.44,1.60,TRUE,FALSE,0.5
2015-20-7-11:3:38,60.7,139.1,1.47,1.57,TRUE,FALSE,0.5
2015-20-7-11:3:39,60.7,139.2,1.49,1.53,TRUE,FALSE,0.5
2015-20-7-11:3:41,60.7,139.2,1.64,1.49,TRUE,FALSE,0.5
2015-20-7-11:3:42,60.6,139.2,1.55,1.47,TRUE,FALSE,0.5
2015-20-7-11:3:43,60.7,139.2,1.53,1.51,TRUE,FALSE,0.5
2015-20-7-11:3:45,60.7,139.3,1.46,1.51,TRUE,FALSE,0.5
2015-20-7-11:3:46,60.6,139.3,1.45,1.63,TRUE,FALSE,0.5
2015-20-7-11:3:48,60.6,139.5,1.38,1.54,TRUE,FALSE,0.5
2015-20-7-11:3:49,60.6,139.5,1.40,1.47,TRUE,FALSE,0.5
2015-20-7-11:3:50,60.6,139.6,1.42,1.40,TRUE,FALSE,0.5
2015-20-7-11:3:52,60.6,139.6,1.41,1.40,TRUE,FALSE,0.5
2015-20-7-11:3:53,60.6,139.7,1.47,1.37,TRUE,FALSE,0.5
2015-20-7-11:3:55,60.6,139.7,1.49,1.41,TRUE,FALSE,0.5
2015-20-7-11:3:56,60.6,139.6,1.54,1.44,TRUE,FALSE,0.5
2015-20-7-11:3:57,60.5,139.6,1.61,1.48,TRUE,FALSE,0.5
2015-20-7-11:3:59,60.6,139.7,1.57,1.53,TRUE,FALSE,0.5
2015-20-7-11:4:0,60.5,139.8,1.52,1.56,TRUE,FALSE,0.5
2015-20-7-11:4:2,60.5,139.9,1.48,1.62,TRUE,FALSE,0.5
2015-20-7-11:4:3,60.5,139.9,1.46,1.66,TRUE,FALSE,0.5
2015-20-7-11:4:4,60.5,140,1.45,1.68,TRUE,FALSE,0.5
2015-20-7-11:4:6,60.5,140.2,1.51,1.62,TRUE,FALSE,0.5
2015-20-7-11:4:7,60.6,140.3,1.48,1.57,TRUE,FALSE,0.5
2015-20-7-11:4:9,60.6,140.3,1.52,1.56,TRUE,FALSE,0.5
2015-20-7-11:4:10,60.6,140.4,1.54,1.54,TRUE,FALSE,0.5
2015-20-7-11:4:11,60.6,140.4,1.52,1.60,TRUE,FALSE,0.5
2015-20-7-11:4:13,60.7,140.3,1.48,1.55,TRUE,FALSE,0.5
2015-20-7-11:4:14,60.7,140.4,1.41,1.57,TRUE,FALSE,0.5
2015-20-7-11:4:16,60.7,140.4,1.36,1.57,TRUE,FALSE,0.5
2015-20-7-11:4:17,60.7,140.4,1.36,1.54,TRUE,FALSE,0.5
2015-20-7-11:4:18,60.8,140.4,1.36,1.51,TRUE,FALSE,0.5
2015-20-7-11:4:20,60.7,140.3,1.41,1.40,TRUE,FALSE,0.5
2015-20-7-11:4:21,60.8,140.4,1.49,1.36,TRUE,FALSE,0.5
2015-20-7-11:4:23,60.7,140.6,1.56,1.37,TRUE,FALSE,0.5
2015-20-7-11:4:24,60.7,140.6,1.57,1.36,TRUE,FALSE,0.5
2015-20-7-11:4:25,60.7,140.6,1.59,1.38,TRUE,FALSE,0.5
2015-20-7-11:4:27,60.6,140.7,1.65,1.44,TRUE,FALSE,0.5
2015-20-7-11:4:28,60.7,140.7,2.11,1.47,TRUE,FALSE,0.5
2015-20-7-11:4:30,60.7,140.7,1.76,1.52,TRUE,FALSE,0.5
2015-20-7-11:4:31,60.7,140.7,1.79,1.53,TRUE,FALSE,0.5
2015-20-7-11:4:32,60.7,140.9,1.80,1.55,TRUE,FALSE,0.5
2015-20-7-11:4:34,60.7,140.9,1.75,1.54,TRUE,FALSE,0.5
2015-20-7-11:4:35,60.7,140.9,1.68,1.62,TRUE,FALSE,0.5
2015-20-7-11:4:37,60.8,140.9,1.61,1.71,TRUE,FALSE,0.5
2015-20-7-11:4:38,60.9,140.9,1.49,1.75,TRUE,FALSE,0.5
2015-20-7-11:4:39,60.9,140.8,1.37,1.72,TRUE,FALSE,0.5
2015-20-7-11:4:41,60.9,140.8,1.24,1.63,TRUE,FALSE,0.5
2015-20-7-11:4:42,61,140.7,1.24,1.57,TRUE,FALSE,0.5
2015-20-7-11:4:44,61,140.6,1.40,1.47,TRUE,FALSE,0.5
2015-20-7-11:4:45,61,140.6,1.31,1.32,TRUE,FALSE,0.5
2015-20-7-11:4:46,61,140.5,1.26,1.20,TRUE,FALSE,0.5
2015-20-7-11:4:48,61,140.3,1.34,1.23,TRUE,FALSE,0.5
2015-20-7-11:4:49,61,140.3,1.45,1.43,TRUE,FALSE,0.5
2015-20-7-11:4:51,61,140.2,1.67,1.30,TRUE,FALSE,0.5
2015-20-7-11:4:52,61,140.1,1.91,1.22,TRUE,FALSE,0.5
2015-20-7-11:4:53,61,140.2,1.80,1.25,TRUE,FALSE,0.5
2015-20-7-11:4:55,61,140,1.70,1.26,TRUE,FALSE,0.5
2015-20-7-11:4:56,61,139.9,1.67,1.40,TRUE,FALSE,0.5
2015-20-7-11:4:58,61,139.8,1.70,1.64,TRUE,FALSE,0.5
2015-20-7-11:4:59,61,139.8,1.56,1.91,TRUE,FALSE,0.5
2015-20-7-11:5:0,61,139.7,1.53,1.82,TRUE,FALSE,0.5
2015-20-7-11:5:2,61,139.6,1.54,1.71,TRUE,FALSE,0.5
2015-20-7-11:5:3,61,139.5,1.55,1.82,TRUE,FALSE,0.5
