time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MEDIA,MARCHA,PARO,VELOCIDAD
2015-14-7 9:56:42,61.3,135.4,2.193277,1.735789,1.964533,TRUE,TRUE,0.75
2015-14-7 9:56:43,61.3,135.5,2.147398,1.816241,1.9818195,TRUE,TRUE,0.75
2015-14-7 9:56:44,61.3,135.5,2.112988,1.839227,1.9761075,TRUE,TRUE,0.75
2015-14-7 9:56:46,61.3,135.6,2.009759,1.873706,1.9417325,TRUE,TRUE,0.75
2015-14-7 9:56:47,61.3,135.5,2.021229,1.931171,1.9762,TRUE,TRUE,0.75
2015-14-7 9:56:49,61.3,135.4,2.021229,1.919678,1.9704535,TRUE,TRUE,0.75
2015-14-7 9:56:50,61.3,135.4,1.998289,1.85072,1.9245045,TRUE,TRUE,0.75
2015-14-7 9:56:51,61.3,135.4,1.998289,1.908185,1.953237,TRUE,TRUE,0.75
2015-14-7 9:56:53,61.3,135.5,2.032699,1.839227,1.935963,TRUE,TRUE,0.75
2015-14-7 9:56:54,61.3,135.5,2.044169,1.781762,1.9129655,TRUE,TRUE,0.75
2015-14-7 9:56:56,61.3,135.6,1.998289,1.758775,1.878532,TRUE,TRUE,0.75
2015-14-7 9:56:57,61.3,135.6,1.895061,1.735789,1.815425,TRUE,TRUE,0.75
2015-14-7 9:56:58,61.3,135.7,1.803301,1.666831,1.735066,TRUE,TRUE,0.75
2015-14-7 9:57:0,61.3,135.8,1.711542,1.597873,1.6547075,TRUE,TRUE,0.75
2015-14-7 9:57:1,61.3,135.8,1.619783,1.540408,1.5800955,TRUE,TRUE,0.75
2015-14-7 9:57:3,61.3,135.8,1.550964,1.517422,1.534193,TRUE,TRUE,0.75
2015-14-7 9:57:4,61.3,135.8,1.493615,1.482943,1.488279,TRUE,TRUE,0.75
2015-14-7 9:57:5,61.3,135.7,1.447735,1.494436,1.4710855,TRUE,TRUE,0.75
2015-14-7 9:57:7,61.3,135.8,1.413326,1.505929,1.4596275,TRUE,TRUE,0.75
2015-14-7 9:57:8,61.3,135.8,1.390386,1.494436,1.442411,TRUE,TRUE,0.75
2015-14-7 9:57:10,61.3,135.8,1.378916,1.482943,1.4309295,TRUE,TRUE,0.75
2015-14-7 9:57:11,61.3,135.8,1.390386,1.47145,1.430918,TRUE,TRUE,0.75
2015-14-7 9:57:12,61.3,135.7,1.390386,1.425478,1.407932,TRUE,TRUE,0.75
2015-14-7 9:57:14,61.3,135.5,1.401856,1.402492,1.402174,TRUE,TRUE,0.75
2015-14-7 9:57:15,61.3,135.3,1.390386,1.390998,1.390692,TRUE,TRUE,0.75
2015-14-7 9:57:17,61.3,135.3,1.401856,1.390998,1.396427,TRUE,TRUE,0.75
2015-14-7 9:57:18,61.2,135.3,1.413326,1.390998,1.402162,TRUE,TRUE,0.75
2015-14-7 9:57:19,61.2,135.3,1.390386,1.402492,1.396439,TRUE,TRUE,0.75
2015-14-7 9:57:21,61.2,135.3,1.344506,1.413985,1.3792455,TRUE,TRUE,0.75
2015-14-7 9:57:22,61.2,135.2,1.321566,1.402492,1.362029,TRUE,TRUE,0.75
2015-14-7 9:57:24,61.2,135.2,1.287157,1.413985,1.350571,TRUE,TRUE,0.75
2015-14-7 9:57:25,61.2,135.2,1.298627,1.390998,1.3448125,TRUE,TRUE,0.75
2015-14-7 9:57:26,61.2,135.2,1.378916,1.333533,1.3562245,TRUE,TRUE,0.75
2015-14-7 9:57:28,61.2,135.2,1.562434,1.32204,1.442237,TRUE,TRUE,0.75
2015-14-7 9:57:29,61.2,135.2,1.596844,1.276068,1.436456,TRUE,TRUE,0.75
2015-14-7 9:57:31,61.2,135,1.585374,1.299054,1.442214,TRUE,TRUE,0.75
2015-14-7 9:57:32,61.2,134.9,1.562434,1.379506,1.47097,TRUE,TRUE,0.75
2015-14-7 9:57:33,61.2,134.7,1.528024,1.563394,1.545709,TRUE,TRUE,0.75
2015-14-7 9:57:35,61.2,134.7,1.505085,1.58638,1.5457325,TRUE,TRUE,0.75
2015-14-7 9:57:36,61.2,134.7,1.459205,1.551901,1.505553,TRUE,TRUE,0.75
2015-14-7 9:57:38,61.2,134.7,1.436265,1.563394,1.4998295,TRUE,TRUE,0.75
2015-14-7 9:57:39,61.2,134.7,1.424795,1.505929,1.465362,TRUE,TRUE,0.75
2015-14-7 9:57:40,61.2,134.7,1.413326,1.482943,1.4481345,TRUE,TRUE,0.75
2015-14-7 9:57:42,61.3,134.6,1.436265,1.459957,1.448111,TRUE,TRUE,0.75
2015-14-7 9:57:43,61.3,134.6,1.424795,1.425478,1.4251365,TRUE,TRUE,0.75
2015-14-7 9:57:45,61.3,134.6,1.447735,1.413985,1.43086,TRUE,TRUE,0.75
2015-14-7 9:57:46,61.3,134.7,1.459205,1.47145,1.4653275,TRUE,TRUE,0.75
2015-14-7 9:57:47,61.3,134.7,1.436265,1.482943,1.459604,TRUE,TRUE,0.75
2015-14-7 9:57:49,61.2,134.7,1.436265,1.482943,1.459604,TRUE,TRUE,0.75
