time,Tmp Husillo [C],Tmp Nozzle [C],Diametro X [mm],Diametro Y [mm],RPM
2015-20-7 9:43:49,24.2,24.4,1.65,1.64,3.219
2015-20-7 9:43:51,24.2,24.4,1.65,1.64,3.219
2015-20-7 9:43:52,24.3,24.4,1.65,1.64,3.219
2015-20-7 9:43:53,24.2,24.4,1.67,1.64,3.219
2015-20-7 9:43:55,24.2,24.4,1.68,1.66,3.219
2015-20-7 9:43:56,24.2,24.4,1.68,1.66,3.219
2015-20-7 9:43:58,24.3,24.4,1.68,1.63,3.219
2015-20-7 9:43:59,24.2,24.4,1.69,1.62,3.219
2015-20-7 9:44:0,24.2,24.4,1.68,1.62,3.219
2015-20-7 9:44:2,24.2,24.4,1.69,1.63,3.219
2015-20-7 9:44:3,24.2,24.4,1.7,1.63,3.219
2015-20-7 9:44:5,24.2,24.4,1.69,1.62,3.219
2015-20-7 9:44:6,24.2,24.4,1.68,1.62,3.219
2015-20-7 9:44:7,24.2,24.4,1.69,1.61,3.219
2015-20-7 9:44:9,24.2,24.4,1.69,1.59,3.219
2015-20-7 9:44:10,24.2,24.4,1.68,1.59,3.219
2015-20-7 9:44:12,24.2,24.4,1.68,1.6,3.219
2015-20-7 9:44:13,24.2,24.3,1.68,1.6,3.219
2015-20-7 9:44:14,24.2,24.3,1.7,1.6,3.219
2015-20-7 9:44:16,24.2,24.4,1.67,1.61,3.219
2015-20-7 9:44:17,24.2,24.4,1.68,1.61,3.219
2015-20-7 9:44:19,24.2,24.3,1.68,1.61,3.219
2015-20-7 9:44:20,24.2,24.4,1.68,1.61,3.219
2015-20-7 9:44:21,24.2,24.4,1.68,1.59,3.219
2015-20-7 9:44:23,24.2,24.4,1.67,1.61,3.219
2015-20-7 9:44:24,24.2,24.3,1.67,1.61,3.219
2015-20-7 9:44:26,24.2,24.3,1.69,1.61,3.219
2015-20-7 9:44:27,24.2,24.4,1.69,1.62,3.219
2015-20-7 9:44:28,24.2,24.3,1.69,1.62,3.219
2015-20-7 9:44:30,24.2,24.3,1.68,1.63,3.219
2015-20-7 9:44:31,24.2,24.4,1.68,1.62,3.219
2015-20-7 9:44:33,24.3,24.3,1.68,1.62,3.219
2015-20-7 9:44:34,24.3,24.3,1.69,1.66,3.219
2015-20-7 9:44:35,24.2,24.4,1.7,1.66,3.219
2015-20-7 9:44:37,24.2,24.4,1.71,1.64,3.219
2015-20-7 9:44:38,24.2,24.3,1.7,1.64,3.219
2015-20-7 9:44:40,24.3,24.4,1.69,1.66,3.219
2015-20-7 9:44:41,24.2,24.4,1.69,1.66,3.219
2015-20-7 9:44:42,24.2,24.4,1.7,1.66,3.219
2015-20-7 9:44:44,24.3,24.4,1.71,1.66,3.219
2015-20-7 9:44:45,24.2,24.4,1.69,1.66,3.219
2015-20-7 9:44:47,24.2,24.4,1.68,1.66,3.219
2015-20-7 9:44:48,24.2,24.4,1.68,1.67,3.219
2015-20-7 9:44:49,24.3,24.4,1.67,1.66,3.219
2015-20-7 9:44:51,24.2,24.3,1.7,1.68,3.219
2015-20-7 9:44:52,24.2,24.3,1.7,1.68,3.219
2015-20-7 9:44:54,24.2,24.3,1.71,1.68,3.219
2015-20-7 9:44:55,24.2,24.3,1.71,1.68,3.219
2015-20-7 9:44:56,24.2,24.3,1.69,1.69,3.219
2015-20-7 9:44:58,24.2,24.3,1.7,1.66,3.219
2015-20-7 9:44:59,24.2,24.3,1.69,1.66,3.219
2015-20-7 9:45:1,24.2,24.3,1.7,1.67,3.219
2015-20-7 9:45:2,24.2,24.4,1.7,1.68,3.219
2015-20-7 9:45:3,24.2,24.4,1.71,1.68,3.219
2015-20-7 9:45:5,24.2,24.4,1.71,1.68,3.219
2015-20-7 9:45:6,24.2,24.4,1.69,1.68,3.219
2015-20-7 9:45:8,24.2,24.4,1.68,1.66,3.219
2015-20-7 9:45:9,24.2,24.3,1.68,1.64,3.219
2015-20-7 9:45:10,24.2,24.3,1.69,1.63,3.219
2015-20-7 9:45:12,24.2,24.3,1.68,1.64,3.219
2015-20-7 9:45:13,24.3,24.3,1.69,1.64,3.219
2015-20-7 9:45:15,24.2,24.3,1.68,1.64,3.219
2015-20-7 9:45:16,24.2,24.3,1.68,1.64,3.219
2015-20-7 9:45:17,24.2,24.3,1.67,1.63,3.219
2015-20-7 9:45:19,24.2,24.3,1.68,1.63,3.219
2015-20-7 9:45:20,24.2,24.3,1.69,1.63,3.219
2015-20-7 9:45:22,24.2,24.3,1.7,1.64,3.219
2015-20-7 9:45:23,24.2,24.3,1.7,1.64,3.219
2015-20-7 9:45:24,24.2,24.3,1.71,1.64,3.219
2015-20-7 9:45:26,24.2,24.3,1.68,1.63,3.219
2015-20-7 9:45:27,24.2,24.3,1.68,1.63,3.219
2015-20-7 9:45:29,24.2,24.3,1.64,1.63,3.219
2015-20-7 9:45:30,24.2,24.3,1.67,1.63,3.219
2015-20-7 9:45:31,24.2,24.3,1.67,1.63,3.219
2015-20-7 9:45:33,24.2,24.3,1.69,1.63,3.219
2015-20-7 9:45:34,24.2,24.3,1.71,1.63,3.219
2015-20-7 9:45:36,24.2,24.3,1.69,1.66,3.219
2015-20-7 9:45:37,24.2,24.3,1.7,1.64,3.219
2015-20-7 9:45:38,24.2,24.3,1.69,1.63,3.219
2015-20-7 9:45:40,24.2,24.3,1.69,1.62,3.219
2015-20-7 9:45:41,24.2,24.3,1.67,1.61,3.219
2015-20-7 9:45:43,24.2,24.3,1.67,1.61,3.219
2015-20-7 9:45:44,24.2,24.3,1.65,1.62,3.219
2015-20-7 9:45:45,24.2,24.3,1.67,1.62,3.219
2015-20-7 9:45:47,24.2,24.3,1.68,1.62,3.219
2015-20-7 9:45:48,24.2,24.3,1.7,1.62,3.219
2015-20-7 9:45:50,24.2,24.3,1.68,1.62,3.219
2015-20-7 9:45:51,24.2,24.3,1.7,1.63,3.219
2015-20-7 9:45:52,24.2,24.3,1.69,1.63,3.219
2015-20-7 9:45:54,24.2,24.3,1.7,1.63,3.219
2015-20-7 9:45:55,24.2,24.3,1.69,1.63,3.219
2015-20-7 9:45:57,24.2,24.3,1.68,1.63,3.219
2015-20-7 9:45:58,24.2,24.3,1.68,1.63,3.219
2015-20-7 9:45:59,24.2,24.3,1.68,1.63,3.219
2015-20-7 9:46:1,24.2,24.3,1.68,1.63,3.219
2015-20-7 9:46:2,24.2,24.3,1.68,1.63,3.219
2015-20-7 9:46:4,24.2,24.3,1.69,1.63,3.219
2015-20-7 9:46:5,24.2,24.3,1.69,1.63,3.219
2015-20-7 9:46:6,24.2,24.3,1.69,1.66,3.219
2015-20-7 9:46:8,24.2,24.3,1.69,1.64,3.219
2015-20-7 9:46:9,24.2,24.3,1.69,1.64,3.219
2015-20-7 9:46:11,24.2,24.3,1.69,1.64,3.219
2015-20-7 9:46:12,24.2,24.3,1.68,1.64,3.219
2015-20-7 9:46:13,24.2,24.3,1.7,1.64,3.219
2015-20-7 9:46:15,24.2,24.3,1.7,1.67,3.219
2015-20-7 9:46:16,24.2,24.3,1.7,1.66,3.219
2015-20-7 9:46:18,24.2,24.3,1.7,1.68,3.219
2015-20-7 9:46:19,24.2,24.3,1.7,1.68,3.219
2015-20-7 9:46:20,24.2,24.3,1.7,1.68,3.219
2015-20-7 9:46:22,24.2,24.3,1.73,1.69,3.219
2015-20-7 9:46:23,24.2,24.3,1.73,1.68,3.219
2015-20-7 9:46:25,24.2,24.3,1.73,1.68,3.219
2015-20-7 9:46:26,24.2,24.3,1.73,1.67,3.219
2015-20-7 9:46:27,24.2,24.3,1.73,1.66,3.219
2015-20-7 9:46:29,24.2,24.3,1.72,1.64,3.219
2015-20-7 9:46:30,24.2,24.3,1.72,1.64,3.219
2015-20-7 9:46:32,24.2,24.3,1.7,1.66,3.219
2015-20-7 9:46:33,24.2,24.3,1.68,1.66,3.219
2015-20-7 9:46:34,24.2,24.3,1.67,1.67,3.219
2015-20-7 9:46:36,24.2,24.3,1.7,1.69,3.219
2015-20-7 9:46:37,24.2,24.3,1.7,1.7,3.219
2015-20-7 9:46:39,24.2,24.3,1.69,1.7,3.219
2015-20-7 9:46:40,24.2,24.3,1.69,1.7,3.219
2015-20-7 9:46:41,24.2,24.3,1.67,1.69,3.219
2015-20-7 9:46:43,24.2,24.3,1.68,1.69,3.219
2015-20-7 9:46:44,24.2,24.3,1.68,1.7,3.219
2015-20-7 9:46:46,24.2,24.3,1.71,1.7,3.219
2015-20-7 9:46:47,24.2,24.3,1.7,1.69,3.219
2015-20-7 9:46:48,24.2,24.3,1.71,1.69,3.219
2015-20-7 9:46:50,24.2,24.3,1.7,1.68,3.219
2015-20-7 9:46:51,24.2,24.3,1.69,1.68,3.219
2015-20-7 9:46:53,24.2,24.3,1.69,1.68,3.219
2015-20-7 9:46:54,24.2,24.3,1.68,1.68,3.219
2015-20-7 9:46:55,24.2,24.3,1.67,1.67,3.219
2015-20-7 9:46:57,24.2,24.3,1.68,1.69,3.219
2015-20-7 9:46:58,24.2,24.3,1.7,1.69,3.219
2015-20-7 9:47:0,24.2,24.3,1.7,1.69,3.219
2015-20-7 9:47:1,24.2,24.3,1.69,1.69,3.219
2015-20-7 9:47:2,24.2,24.3,1.68,1.66,3.219
2015-20-7 9:47:4,24.2,24.3,1.67,1.64,3.219
2015-20-7 9:47:5,24.2,24.3,1.67,1.66,3.219
2015-20-7 9:47:7,24.2,24.3,1.68,1.67,3.219
2015-20-7 9:47:8,24.2,24.3,1.67,1.67,3.219
2015-20-7 9:47:9,24.2,24.3,1.69,1.67,3.219
2015-20-7 9:47:11,24.2,24.3,1.68,1.67,3.219
2015-20-7 9:47:12,24.2,24.3,1.69,1.68,3.219
2015-20-7 9:47:14,24.2,24.3,1.68,1.68,3.219
2015-20-7 9:47:15,24.2,24.3,1.68,1.67,3.219
2015-20-7 9:47:16,24.2,24.3,1.69,1.63,3.219
2015-20-7 9:47:18,24.2,24.3,1.64,1.64,3.219
2015-20-7 9:47:19,24.2,24.3,1.67,1.66,3.219
2015-20-7 9:47:21,24.2,24.3,1.69,1.66,3.219
2015-20-7 9:47:22,24.2,24.3,1.68,1.66,3.219
2015-20-7 9:47:23,24.2,24.3,1.71,1.66,3.219
2015-20-7 9:47:25,24.2,24.3,1.7,1.66,3.219
2015-20-7 9:47:26,24.2,24.3,1.7,1.63,3.219
2015-20-7 9:47:28,24.2,24.2,1.69,1.63,3.219
2015-20-7 9:47:29,24.2,24.2,1.69,1.63,3.219
2015-20-7 9:47:30,24.2,24.2,1.69,1.66,3.219
2015-20-7 9:47:32,24.2,24.2,1.68,1.63,3.219
2015-20-7 9:47:33,24.2,24.2,1.68,1.63,3.219
2015-20-7 9:47:35,24.2,24.2,1.67,1.64,3.219
2015-20-7 9:47:36,24.2,24.2,1.65,1.66,3.219
2015-20-7 9:47:37,24.2,24.2,1.65,1.64,3.219
2015-20-7 9:47:39,24.2,24.2,1.67,1.64,3.219
2015-20-7 9:47:40,24.2,24.2,1.67,1.66,3.219
2015-20-7 9:47:42,24.2,24.2,1.68,1.66,3.219
2015-20-7 9:47:43,24.2,24.2,1.68,1.64,3.219
2015-20-7 9:47:44,24.2,24.2,1.68,1.64,3.219
2015-20-7 9:47:46,24.2,24.2,1.69,1.64,3.219
2015-20-7 9:47:47,24.2,24.2,1.7,1.66,3.219
2015-20-7 9:47:49,24.2,24.2,1.7,1.64,3.219
2015-20-7 9:47:50,24.2,24.2,1.7,1.64,3.219
2015-20-7 9:47:51,24.2,24.2,1.71,1.64,3.219
2015-20-7 9:47:53,24.2,24.2,1.71,1.64,3.219
2015-20-7 9:47:54,24.2,24.2,1.71,1.64,3.219
2015-20-7 9:47:56,24.2,24.2,1.71,1.66,3.219
2015-20-7 9:47:57,24.2,24.2,1.72,1.67,3.219
2015-20-7 9:47:58,24.2,24.2,1.73,1.64,3.219
2015-20-7 9:48:0,24.2,24.2,1.7,1.67,3.219
2015-20-7 9:48:1,24.2,24.2,1.73,1.66,3.219
2015-20-7 9:48:3,24.2,24.2,1.72,1.64,3.219
2015-20-7 9:48:4,24.2,24.2,1.73,1.66,3.219
2015-20-7 9:48:5,24.2,24.2,1.73,1.66,3.219
