time,PARO,S por vuelta de ex
2015-21-7-11:36:0,TRUE,T#29s999ms
2015-21-7-11:36:2,TRUE,T#29s999ms
2015-21-7-11:36:3,TRUE,T#29s999ms
2015-21-7-11:36:5,TRUE,T#29s999ms
2015-21-7-11:36:6,TRUE,T#29s999ms
2015-21-7-11:36:7,TRUE,T#29s999ms
2015-21-7-11:36:9,TRUE,T#29s999ms
2015-21-7-11:36:10,TRUE,T#29s999ms
2015-21-7-11:36:12,TRUE,T#29s999ms
2015-21-7-11:36:13,TRUE,T#29s999ms
2015-21-7-11:36:14,TRUE,T#29s999ms
2015-21-7-11:36:16,TRUE,T#29s999ms
2015-21-7-11:36:17,TRUE,T#29s1ms
2015-21-7-11:36:19,TRUE,T#29s1ms
2015-21-7-11:36:20,TRUE,T#29s1ms
2015-21-7-11:36:21,TRUE,T#29s1ms
2015-21-7-11:36:23,TRUE,T#29s1ms
2015-21-7-11:36:24,TRUE,T#29s1ms
2015-21-7-11:36:26,TRUE,T#29s1ms
2015-21-7-11:36:27,TRUE,T#29s1ms
2015-21-7-11:36:28,TRUE,T#29s1ms
2015-21-7-11:36:30,TRUE,T#29s1ms
2015-21-7-11:36:31,TRUE,T#29s1ms
2015-21-7-11:36:33,TRUE,T#29s1ms
2015-21-7-11:36:34,TRUE,T#29s1ms
2015-21-7-11:36:35,TRUE,T#29s1ms
2015-21-7-11:36:37,TRUE,T#29s1ms
2015-21-7-11:36:38,TRUE,T#29s1ms
2015-21-7-11:36:40,TRUE,T#29s1ms
2015-21-7-11:36:41,TRUE,T#29s1ms
2015-21-7-11:36:42,TRUE,T#29s1ms
2015-21-7-11:36:44,TRUE,T#29s1ms
2015-21-7-11:36:45,TRUE,T#29s1ms
2015-21-7-11:36:47,TRUE,T#29s999ms
2015-21-7-11:36:48,TRUE,T#29s999ms
2015-21-7-11:36:49,TRUE,T#29s999ms
2015-21-7-11:36:51,TRUE,T#29s999ms
2015-21-7-11:36:52,TRUE,T#29s999ms
2015-21-7-11:36:54,TRUE,T#29s999ms
2015-21-7-11:36:55,TRUE,T#29s999ms
2015-21-7-11:36:56,TRUE,T#29s999ms
2015-21-7-11:36:58,TRUE,T#29s999ms
2015-21-7-11:36:59,TRUE,T#29s999ms
2015-21-7-11:37:1,TRUE,T#29s999ms
2015-21-7-11:37:2,TRUE,T#29s999ms
2015-21-7-11:37:3,TRUE,T#29s999ms
2015-21-7-11:37:5,TRUE,T#29s999ms
2015-21-7-11:37:6,TRUE,T#29s999ms
2015-21-7-11:37:8,TRUE,T#29s999ms
2015-21-7-11:37:9,TRUE,T#29s999ms
2015-21-7-11:37:10,TRUE,T#29s999ms
2015-21-7-11:37:12,TRUE,T#29s999ms
2015-21-7-11:37:13,TRUE,T#29s999ms
2015-21-7-11:37:15,TRUE,T#29s999ms
2015-21-7-11:37:16,TRUE,T#29s999ms
2015-21-7-11:37:17,TRUE,T#30s1ms
2015-21-7-11:37:19,TRUE,T#30s1ms
2015-21-7-11:37:20,TRUE,T#30s1ms
2015-21-7-11:37:22,TRUE,T#30s1ms
2015-21-7-11:37:23,TRUE,T#30s1ms
2015-21-7-11:37:24,TRUE,T#30s1ms
2015-21-7-11:37:26,TRUE,T#30s1ms
2015-21-7-11:37:27,TRUE,T#30s1ms
2015-21-7-11:37:29,TRUE,T#30s1ms
2015-21-7-11:37:30,TRUE,T#30s1ms
2015-21-7-11:37:31,TRUE,T#30s1ms
2015-21-7-11:37:33,TRUE,T#30s1ms
2015-21-7-11:37:34,TRUE,T#30s1ms
2015-21-7-11:37:36,TRUE,T#30s1ms
2015-21-7-11:37:37,TRUE,T#30s1ms
2015-21-7-11:37:38,TRUE,T#30s1ms
