time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,RPM EXTR,RPM TRAC
2015-22-7-11:6:25,67.7,137.7,1.218338,1.241589,TRUE,TRUE,2.0,3.814816
2015-22-7-11:6:26,67.7,137.8,1.218338,1.230096,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:28,67.7,137.9,1.218338,1.230096,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:29,67.6,137.9,1.206868,1.230096,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:30,67.6,137.9,1.218338,1.230096,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:32,67.6,137.9,1.206868,1.230096,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:33,67.6,137.8,1.206868,1.230096,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:35,67.6,137.8,1.206868,1.241589,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:36,67.6,137.9,1.206868,1.230096,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:37,67.6,137.9,1.206868,1.230096,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:39,67.6,138.0,1.206868,1.241589,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:40,67.6,138.0,1.206868,1.241589,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:42,67.6,138.0,1.206868,1.241589,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:43,67.7,138.0,1.206868,1.241589,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:44,67.7,137.9,1.206868,1.241589,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:46,67.7,137.9,1.195398,1.253082,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:47,67.6,137.8,1.195398,1.253082,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:49,67.7,137.7,1.195398,1.253082,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:50,67.7,137.6,1.195398,1.253082,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:51,67.7,137.6,1.195398,1.253082,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:53,67.7,137.5,1.195398,1.253082,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:54,67.7,137.4,1.195398,1.253082,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:56,67.7,137.4,1.195398,1.253082,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:57,67.7,137.5,1.195398,1.253082,TRUE,TRUE,2.0,0.0
2015-22-7-11:6:58,67.8,137.5,1.195398,1.253082,TRUE,TRUE,2.0,0.0
2015-22-7-11:7:0,67.8,137.4,1.195398,1.253082,TRUE,TRUE,2.0,0.0
2015-22-7-11:7:1,67.7,137.4,1.195398,1.253082,TRUE,TRUE,2.0,0.0
