time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,PWM
2015-8-7-10:48:3,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:6,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:7,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:9,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:10,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:12,24.5,24.6,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:13,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:14,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:16,24.5,24.6,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:17,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:19,24.5,24.6,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:20,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:21,24.5,24.6,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:23,24.5,24.6,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:24,24.5,24.6,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:26,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:27,24.5,24.6,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:28,24.5,24.6,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:30,24.5,24.6,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:31,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:33,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:34,24.5,24.6,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:35,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:37,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:38,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:40,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:41,24.5,24.6,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:42,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:44,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:45,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:47,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:48,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:49,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:51,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
2015-8-7-10:48:52,24.5,24.7,0.014,3.42e-4,TRUE,TRUE,0.0
