time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,VELOCIDAD
2015-20-7-14:42:28,61.8,140.9,1.252747,1.356519,TRUE,FALSE,5
2015-20-7-14:42:30,61.7,141,1.333036,1.345026,TRUE,FALSE,5
2015-20-7-14:42:31,61.7,141.2,1.344506,1.368012,TRUE,FALSE,5
2015-20-7-14:42:33,61.7,141.3,1.333036,1.425478,TRUE,FALSE,5
2015-20-7-14:42:34,61.6,141.3,1.287157,1.436971,TRUE,FALSE,5
2015-20-7-14:42:35,61.6,141.3,1.275687,1.413985,TRUE,FALSE,5
2015-20-7-14:42:37,61.6,141.3,1.218338,1.390998,TRUE,FALSE,5
2015-20-7-14:42:38,61.6,141.3,1.183928,1.390998,TRUE,FALSE,5
2015-20-7-14:42:40,61.6,141.3,1.195398,1.299054,TRUE,FALSE,5
2015-20-7-14:42:41,61.6,141.4,1.264217,1.287561,TRUE,FALSE,5
2015-20-7-14:42:42,61.6,141.4,1.275687,1.310547,TRUE,FALSE,5
2015-20-7-14:42:44,61.6,141.5,1.252747,1.356519,TRUE,FALSE,5
2015-20-7-14:42:45,61.6,141.5,1.195398,1.333533,TRUE,FALSE,5
2015-20-7-14:42:47,61.6,141.5,1.115109,1.310547,TRUE,FALSE,5
2015-20-7-14:42:48,61.6,141.4,1.115109,1.276068,TRUE,FALSE,5
2015-20-7-14:42:49,61.6,141.3,1.172458,1.20711,TRUE,FALSE,5
2015-20-7-14:42:51,61.7,141.2,1.115109,1.218603,TRUE,FALSE,5
2015-20-7-14:42:52,61.7,141.1,1.138048,1.276068,TRUE,FALSE,5
2015-20-7-14:42:54,61.7,141,1.103639,1.264575,TRUE,FALSE,5
2015-20-7-14:42:55,61.7,140.8,1.080699,1.264575,TRUE,FALSE,5
2015-20-7-14:42:56,61.7,140.6,1.080699,1.20711,TRUE,FALSE,5
2015-20-7-14:42:58,61.7,140.6,1.115109,1.172631,TRUE,FALSE,5
2015-20-7-14:42:59,61.8,140.5,1.149518,1.184124,TRUE,FALSE,5
2015-20-7-14:43:1,61.8,140.5,1.206868,1.184124,TRUE,FALSE,5
2015-20-7-14:43:2,61.8,140.4,1.183928,1.230096,TRUE,FALSE,5
2015-20-7-14:43:3,61.8,140.4,1.183928,1.287561,TRUE,FALSE,5
2015-20-7-14:43:5,61.8,140.3,1.160988,1.241589,TRUE,FALSE,5
2015-20-7-14:43:6,61.8,140.3,1.115109,1.241589,TRUE,FALSE,5
2015-20-7-14:43:8,61.8,140.2,1.115109,1.218603,TRUE,FALSE,5
2015-20-7-14:43:9,61.8,140.2,1.115109,1.218603,TRUE,FALSE,0.5
2015-20-7-14:43:10,61.8,140.1,1.115109,1.195617,TRUE,FALSE,0.5
2015-20-7-14:43:12,61.8,140,1.103639,1.195617,TRUE,FALSE,0.5
2015-20-7-14:43:13,61.8,139.9,1.115109,1.20711,TRUE,FALSE,0.5
2015-20-7-14:43:15,61.8,139.9,1.138048,1.20711,TRUE,FALSE,0.5
2015-20-7-14:43:16,61.8,139.8,1.138048,1.241589,TRUE,FALSE,0.5
2015-20-7-14:43:17,61.8,139.8,1.103639,1.218603,TRUE,FALSE,0.5
2015-20-7-14:43:19,61.7,139.9,1.103639,1.253082,TRUE,FALSE,0.5
2015-20-7-14:43:20,61.7,139.9,1.115109,1.253082,TRUE,FALSE,0.5
2015-20-7-14:43:22,61.7,139.9,1.115109,1.230096,TRUE,FALSE,0.5
2015-20-7-14:43:23,61.7,139.8,1.103639,1.218603,TRUE,FALSE,0.5
2015-20-7-14:43:24,61.7,139.7,1.115109,1.20711,TRUE,FALSE,0.5
2015-20-7-14:43:26,61.7,139.6,1.103639,1.20711,TRUE,FALSE,0.5
2015-20-7-14:43:27,61.7,139.6,1.103639,1.230096,TRUE,FALSE,0.5
2015-20-7-14:43:29,61.8,139.5,1.092169,1.20711,TRUE,FALSE,0.5
2015-20-7-14:43:30,61.8,139.5,1.092169,1.218603,TRUE,FALSE,0.5
2015-20-7-14:43:31,61.8,139.5,1.103639,1.20711,TRUE,FALSE,0.5
2015-20-7-14:43:33,61.8,139.5,1.115109,1.195617,TRUE,FALSE,0.5
2015-20-7-14:43:34,61.8,139.6,1.115109,1.195617,TRUE,FALSE,0.5
2015-20-7-14:43:36,61.8,139.6,1.126578,1.195617,TRUE,FALSE,0.5
2015-20-7-14:43:37,61.8,139.6,1.160988,1.195617,TRUE,FALSE,0.5
2015-20-7-14:43:38,61.7,139.7,1.138048,1.218603,TRUE,FALSE,0.5
2015-20-7-14:43:40,61.7,139.9,1.138048,1.20711,TRUE,FALSE,0.5
2015-20-7-14:43:41,61.7,139.9,1.126578,1.241589,TRUE,FALSE,0.5
2015-20-7-14:43:43,61.7,139.9,1.126578,1.253082,TRUE,FALSE,0.5
2015-20-7-14:43:44,61.7,139.8,1.115109,1.218603,TRUE,FALSE,0.5
2015-20-7-14:43:45,61.8,139.8,1.115109,1.218603,TRUE,FALSE,0.5
2015-20-7-14:43:47,61.8,139.9,1.172458,1.195617,TRUE,FALSE,0.5
2015-20-7-14:43:48,61.8,139.9,1.138048,1.195617,TRUE,FALSE,0.5
2015-20-7-14:43:50,61.8,139.9,1.160988,1.20711,TRUE,FALSE,0.5
2015-20-7-14:43:51,61.8,140,1.218338,1.218603,TRUE,FALSE,0.5
2015-20-7-14:43:52,61.8,140,1.195398,1.287561,TRUE,FALSE,0.5
2015-20-7-14:43:54,61.8,140,1.149518,1.264575,TRUE,FALSE,0.5
2015-20-7-14:43:55,61.8,140,1.149518,1.276068,TRUE,FALSE,0.5
2015-20-7-14:43:57,61.8,140,1.172458,1.32204,TRUE,FALSE,0.5
2015-20-7-14:43:58,61.8,140,1.172458,1.299054,TRUE,FALSE,0.5
2015-20-7-14:43:59,61.8,140,1.172458,1.276068,TRUE,FALSE,0.5
2015-20-7-14:44:1,61.8,140,1.160988,1.264575,TRUE,FALSE,0.5
2015-20-7-14:44:2,61.8,139.9,1.115109,1.287561,TRUE,FALSE,0.5
2015-20-7-14:44:4,61.8,139.8,1.057759,1.264575,TRUE,FALSE,0.5
2015-20-7-14:44:5,61.8,139.8,0.98894,1.264575,TRUE,FALSE,0.5
2015-20-7-14:44:6,61.8,139.8,1.00041,1.241589,TRUE,FALSE,0.5
2015-20-7-14:44:8,61.8,139.9,1.069229,1.218603,TRUE,FALSE,0.5
2015-20-7-14:44:9,61.8,140,1.160988,1.184124,TRUE,FALSE,0.5
2015-20-7-14:44:11,61.8,140,1.218338,1.161138,TRUE,FALSE,0.5
2015-20-7-14:44:12,61.8,140,1.218338,1.149645,TRUE,FALSE,0.5
2015-20-7-14:44:13,61.8,140,1.195398,1.230096,TRUE,FALSE,0.5
2015-20-7-14:44:15,61.8,139.9,1.172458,1.310547,TRUE,FALSE,0.5
2015-20-7-14:44:16,61.8,139.8,1.206868,1.368012,TRUE,FALSE,0.5
2015-20-7-14:44:18,61.8,139.8,1.183928,1.356519,TRUE,FALSE,0.5
2015-20-7-14:44:19,61.8,139.9,1.206868,1.32204,TRUE,FALSE,0.5
2015-20-7-14:44:20,61.8,140.1,1.218338,1.310547,TRUE,FALSE,0.5
2015-20-7-14:44:22,61.8,140.2,1.241277,1.32204,TRUE,FALSE,0.5
2015-20-7-14:44:23,61.8,140.2,1.252747,1.299054,TRUE,FALSE,0.5
2015-20-7-14:44:25,61.8,140.1,1.264217,1.32204,TRUE,FALSE,0.5
2015-20-7-14:44:26,61.8,140,1.275687,1.333533,TRUE,FALSE,0.5
2015-20-7-14:44:27,61.8,140,1.310097,1.345026,TRUE,FALSE,0.5
2015-20-7-14:44:29,61.8,139.9,1.321566,1.356519,TRUE,FALSE,0.5
2015-20-7-14:44:30,61.8,139.9,1.367446,1.356519,TRUE,FALSE,0.5
2015-20-7-14:44:32,61.8,139.9,1.447735,1.368012,TRUE,FALSE,0.5
2015-20-7-14:44:33,61.8,139.9,1.482145,1.390998,TRUE,FALSE,0.5
2015-20-7-14:44:34,61.8,139.9,1.539494,1.425478,TRUE,FALSE,0.5
2015-20-7-14:44:36,61.8,140,1.596844,1.459957,TRUE,FALSE,0.5
2015-20-7-14:44:37,61.8,140.1,1.642723,1.563394,TRUE,FALSE,0.5
2015-20-7-14:44:39,61.8,140.1,1.688603,1.58638,TRUE,FALSE,0.5
2015-20-7-14:44:40,61.8,140.1,1.688603,1.643845,TRUE,FALSE,0.5
2015-20-7-14:44:41,61.8,140.1,1.688603,1.70131,TRUE,FALSE,0.5
2015-20-7-14:44:43,61.8,140.1,1.677133,1.758775,TRUE,FALSE,0.5
2015-20-7-14:44:44,61.8,140.1,1.711542,1.781762,TRUE,FALSE,0.5
2015-20-7-14:44:46,61.8,140.1,1.654193,1.781762,TRUE,FALSE,0.5
2015-20-7-14:44:47,61.8,140.1,1.619783,1.781762,TRUE,FALSE,0.5
2015-20-7-14:44:48,61.8,140,1.562434,1.770268,TRUE,FALSE,0.5
2015-20-7-14:44:50,61.7,139.8,1.528024,1.804748,TRUE,FALSE,0.5
2015-20-7-14:44:51,61.7,139.8,1.505085,1.793254,TRUE,FALSE,0.5
2015-20-7-14:44:53,61.6,139.7,1.539494,1.747282,TRUE,FALSE,0.5
2015-20-7-14:44:54,61.6,139.7,1.585374,1.70131,TRUE,FALSE,0.5
2015-20-7-14:44:55,61.6,139.7,1.493615,1.655338,TRUE,FALSE,0.5
2015-20-7-14:44:57,61.6,139.8,1.505085,1.632352,TRUE,FALSE,0.5
2015-20-7-14:44:58,61.6,139.9,1.516554,1.655338,TRUE,FALSE,0.5
2015-20-7-14:45:0,61.6,139.9,1.516554,1.781762,TRUE,FALSE,0.5
2015-20-7-14:45:1,61.7,140,1.677133,1.666831,TRUE,FALSE,0.5
2015-20-7-14:45:2,61.7,140,1.596844,1.724296,TRUE,FALSE,0.5
2015-20-7-14:45:4,61.7,140,1.573904,1.70131,TRUE,FALSE,0.5
2015-20-7-14:45:5,61.7,140.1,1.677133,1.597873,TRUE,FALSE,0.5
2015-20-7-14:45:7,61.6,140.3,1.723012,1.689817,TRUE,FALSE,0.5
2015-20-7-14:45:8,61.6,140.3,1.745952,1.643845,TRUE,FALSE,0.5
2015-20-7-14:45:9,61.6,140.2,1.768892,1.551901,TRUE,FALSE,0.5
2015-20-7-14:45:11,61.6,140.2,1.803301,1.563394,TRUE,FALSE,0.5
2015-20-7-14:45:12,61.6,140.2,1.780362,1.563394,TRUE,FALSE,0.5
2015-20-7-14:45:14,61.6,140.2,1.826241,1.563394,TRUE,FALSE,0.5
2015-20-7-14:45:15,61.6,140.2,1.849181,1.597873,TRUE,FALSE,0.5
2015-20-7-14:45:16,61.6,140.3,1.849181,1.643845,TRUE,FALSE,0.5
2015-20-7-14:45:18,61.6,140.3,1.837711,1.678324,TRUE,FALSE,0.5
2015-20-7-14:45:19,61.6,140.3,1.826241,1.70131,TRUE,FALSE,0.5
2015-20-7-14:45:21,61.6,140.3,1.837711,1.735789,TRUE,FALSE,0.5
2015-20-7-14:45:22,61.6,140.3,1.803301,1.747282,TRUE,FALSE,0.5
2015-20-7-14:45:23,61.6,140.3,1.791832,1.712803,TRUE,FALSE,0.5
2015-20-7-14:45:25,61.6,140.2,1.745952,1.689817,TRUE,FALSE,0.5
2015-20-7-14:45:26,61.7,140.2,1.688603,1.678324,TRUE,FALSE,0.5
2015-20-7-14:45:28,61.7,140.1,1.585374,1.655338,TRUE,FALSE,0.5
2015-20-7-14:45:29,61.7,140.1,1.528024,1.678324,TRUE,FALSE,0.5
2015-20-7-14:45:30,61.7,140,1.550964,1.666831,TRUE,FALSE,0.5
2015-20-7-14:45:32,61.7,140,1.585374,1.678324,TRUE,FALSE,0.5
2015-20-7-14:45:33,61.7,140,1.642723,1.689817,TRUE,FALSE,0.5
2015-20-7-14:45:35,61.7,140,1.619783,1.689817,TRUE,FALSE,0.5
2015-20-7-14:45:36,61.6,140,1.573904,1.678324,TRUE,FALSE,0.5
2015-20-7-14:45:37,61.6,140,1.550964,1.70131,TRUE,FALSE,0.5
2015-20-7-14:45:39,61.6,140.1,1.654193,1.666831,TRUE,FALSE,0.5
2015-20-7-14:45:40,61.6,140,1.688603,1.620859,TRUE,FALSE,0.5
2015-20-7-14:45:42,61.6,140,1.734482,1.517422,TRUE,FALSE,0.5
2015-20-7-14:45:43,61.6,139.9,1.803301,1.459957,TRUE,FALSE,0.5
2015-20-7-14:45:44,61.6,139.7,1.814771,1.448464,TRUE,FALSE,0.5
2015-20-7-14:45:46,61.6,139.6,1.745952,1.494436,TRUE,FALSE,0.5
2015-20-7-14:45:47,61.6,139.5,1.711542,1.609366,TRUE,FALSE,0.5
2015-20-7-14:45:49,61.6,139.4,1.665663,1.643845,TRUE,FALSE,0.5
2015-20-7-14:45:50,61.6,139.3,1.619783,1.609366,TRUE,FALSE,0.5
2015-20-7-14:45:51,61.6,139.3,1.562434,1.551901,TRUE,FALSE,0.5
2015-20-7-14:45:53,61.6,139.2,1.528024,1.540408,TRUE,FALSE,0.5
2015-20-7-14:45:54,61.6,139.2,1.539494,1.540408,TRUE,FALSE,0.5
2015-20-7-14:45:56,61.6,139.2,1.573904,1.459957,TRUE,FALSE,0.5
2015-20-7-14:45:57,61.6,139.1,1.631253,1.402492,TRUE,FALSE,0.5
2015-20-7-14:45:58,61.6,139.1,1.642723,1.379506,TRUE,FALSE,0.5
2015-20-7-14:46:0,61.6,139.1,1.654193,1.402492,TRUE,FALSE,0.5
2015-20-7-14:46:1,61.6,139.2,1.677133,1.402492,TRUE,FALSE,0.5
2015-20-7-14:46:3,61.6,139.2,1.677133,1.459957,TRUE,FALSE,0.5
2015-20-7-14:46:4,61.6,139.3,1.654193,1.448464,TRUE,TRUE,0.5
2015-20-7-14:46:5,61.6,139.3,1.654193,1.436971,TRUE,TRUE,0.5
2015-20-7-14:46:7,61.6,139.4,1.596844,1.47145,TRUE,TRUE,0.5
2015-20-7-14:46:8,61.6,139.6,1.562434,1.505929,TRUE,TRUE,0.5
2015-20-7-14:46:10,61.6,139.6,1.493615,1.528915,TRUE,TRUE,0.5
