time,temperatura,entrada
150,60,0
300,60,0
450,60,1
600,60,0
750,60,0
900,60,0
1050,60,1
1200,60,1
1350,60,1
1500,60,1
1650,60,1
1800,60,1
1950,60,1
2100,59.9,1
2250,59.9,1
2400,59.9,1
2550,59.9,1
2700,59.9,1
2850,59.9,1
3000,59.9,1
3150,59.9,1
3300,59.9,1
3450,59.9,1
3600,59.9,1
3750,60,1
3900,60,1
4050,60,1
4200,60,1
4350,60,1
4500,60,1
4650,60,1
4800,60,1
4950,60,1
5100,60,1
5250,60,1
5400,60,1
5550,60,1
5700,60,1
5850,60,1
6000,60,1
6150,60,1
6300,60,1
6450,60,1
6600,60,1
6750,60,1
6900,60,1
7050,60,1
7200,60,1
7350,60,1
7500,60,1
7650,60,1
7800,60,1
7950,60,1
8100,60,1
8250,60,1
8400,60,1
8550,60.1,0
8700,60.1,1
8850,60,1
9000,60,1
9150,60,1
9300,60.1,0
9450,60.1,1
9600,60.1,1
9750,60.1,1
9900,60.1,1
10050,60.1,1
10200,60.1,1
10350,60.1,1
10500,60.2,0
10650,60.2,1
10800,60.2,1
10950,60.2,1
11100,60.2,1
11250,60.2,1
11400,60.2,1
11550,60.2,1
11700,60.2,1
11850,60.2,1
12000,60.2,1
12150,60.2,1
12300,60.2,1
12450,60.2,1
12600,60.2,1
12750,60.2,1
12900,60.2,1
13050,60.2,1
13200,60.2,1
13350,60.2,1
13500,60.2,1
13650,60.2,1
13800,60.2,1
13950,60.2,1
14100,60.2,1
14250,60.2,1
14400,60.2,1
14550,60.2,1
14700,60.2,1
14850,60.3,0
15000,60.3,1
15150,60.2,1
15300,60.2,1
15450,60.2,1
15600,60.3,1
15750,60.3,0
15900,60.3,1
16050,60.2,1
16200,60.2,1
16350,60.3,1
16500,60.3,0
16650,60.3,1
16800,60.2,1
16950,60.2,1
17100,60.2,1
17250,60.2,1
17400,60.2,1
17550,60.2,1
17700,60.2,1
17850,60.2,1
18000,60.2,1
18150,60.2,1
18300,60.2,1
18450,60.2,1
18600,60.2,1
18750,60.2,1
18900,60.2,1
19050,60.2,1
19200,60.1,1
19350,60.1,1
19500,60.1,1
19650,60.2,0
19800,60.2,1
19950,60.2,1
20100,60.2,1
20250,60.2,1
20400,60.2,1
20550,60.2,1
20700,60.2,1
20850,60.2,1
21000,60.2,1
21150,60.2,1
21300,60.2,1
21450,60.2,1
21600,60.1,1
21750,60.1,1
21900,60.1,1
22050,60.1,1
22200,60.1,1
22350,60.1,1
22500,60.2,1
22650,60.2,1
22800,60.1,1
22950,60.1,1
23100,60.1,1
23250,60.2,0
23400,60.2,1
23550,60.1,1
23700,60.1,1
23850,60.1,1
24000,60.1,1
24150,60.1,1
24300,60.1,1
24450,60.1,1
24600,60.1,1
24750,60.1,1
24900,60.1,1
25050,60.1,1
25200,60.1,1
25350,60.1,1
25500,60.1,1
25650,60.1,1
25800,60.1,1
25950,60.1,1
26100,60.1,1
26250,60.1,1
26400,60.1,1
26550,60.1,1
26700,60.1,1
26850,60.1,1
27000,60.1,1
27150,60.1,1
27300,60.1,1
27450,60.1,1
27600,60.2,0
27750,60.2,1
27900,60.2,1
28050,60.2,1
28200,60.2,1
28350,60.2,1
28500,60.2,1
28650,60.2,1
28800,60.3,0
28950,60.3,1
29100,60.3,1
29250,60.3,1
29400,60.3,1
29550,60.3,1
29700,60.3,1
29850,60.3,1
30000,60.4,0
30150,60.4,1
30300,60.4,1
30450,60.4,1
30600,60.4,1
30750,60.4,1
30900,60.4,1
31050,60.4,1
31200,60.5,0
31350,60.5,1
31500,60.5,1
31650,60.6,0
31800,60.6,1
31950,60.6,1
32100,60.6,1
32250,60.6,1
32400,60.6,1
32550,60.6,1
32700,60.7,1
32850,60.7,0
33000,60.7,1
33150,60.8,1
33300,60.8,0
33450,60.8,1
33600,60.9,1
33750,60.9,1
33900,61,1
34050,61,1
34200,61,1
34350,61.1,0
34500,61.1,1
34650,61.2,1
34800,61.2,0
34950,61.2,1
35100,61.3,1
35250,61.3,0
35400,61.3,1
35550,61.4,0
35700,61.4,1
35850,61.4,1
36000,61.4,1
36150,61.4,1
36300,61.6,1
36450,61.6,0
36600,61.6,1
36750,61.7,0
36900,61.7,1
37050,61.7,1
37200,61.8,0
37350,61.8,1
37500,61.9,1
37650,61.9,0
37800,61.9,1
37950,62,0
38100,62,1
38250,62,1
38400,62.2,0
38550,62.2,1
38700,62.2,1
38850,62.2,1
39000,62.2,1
39150,62.4,0
39300,62.4,1
39450,62.6,1
39600,62.6,0
39750,62.6,1
39900,62.6,1
40050,62.6,1
40200,62.6,1
40350,62.8,0
40500,62.8,1
