time,temperatura
150,25.4
300,25.4
450,25.4
600,25.4
750,25.3
900,25.3
1050,25.3
1200,25.3
1350,25.3
1500,25.3
1650,25.4
1800,25.4
1950,25.3
2100,25.3
2250,25.3
2400,25.3
2550,25.3
2700,25.3
2850,25.4
3000,25.4
3150,25.4
3300,25.4
3450,25.4
3600,25.4
3750,25.4
3900,25.4
4050,25.3
4200,25.3
4350,25.3
4500,25.3
4650,25.3
4800,25.3
4950,25.3
5100,25.3
5250,25.3
5400,25.3
5550,25.4
5700,25.4
5850,25.3
6000,25.3
6150,25.3
6300,25.3
6450,25.3
6600,25.3
6750,25.3
6900,25.3
7050,25.3
7200,25.3
7350,25.3
7500,25.3
7650,25.3
7800,25.3
7950,25.3
8100,25.3
8250,25.3
8400,25.3
8550,25.3
8700,25.3
8850,25.3
9000,25.3
9150,25.3
9300,25.3
9450,25.3
9600,25.3
9750,25.3
9900,25.3
10050,25.3
10200,25.3
10350,25.3
10500,25.3
10650,25.3
10800,25.3
10950,25.3
11100,25.3
11250,25.3
11400,25.3
11550,25.3
11700,25.3
11850,25.3
12000,25.3
12150,25.3
12300,25.3
12450,25.3
12600,25.3
12750,25.3
12900,25.3
13050,25.3
13200,25.3
13350,25.3
13500,25.3
13650,25.3
13800,25.3
13950,25.3
14100,25.3
14250,25.3
14400,25.3
14550,25.3
14700,25.3
14850,25.3
15000,25.3
15150,25.3
15300,25.3
15450,25.2
15600,25.2
15750,25.3
15900,25.3
16050,25.3
16200,25.2
16350,25.2
16500,25.2
16650,25.2
16800,25.2
16950,25.2
17100,25.3
17250,25.3
17400,25.2
17550,25.2
17700,25.2
17850,25.2
18000,25.2
18150,25.2
18300,25.3
18450,25.3
18600,25.3
18750,25.2
18900,25.2
19050,25.3
19200,25.3
19350,25.3
19500,25.2
19650,25.2
19800,25.2
19950,25.3
20100,25.3
20250,25.3
20400,25.2
20550,25.2
20700,25.2
20850,25.2
21000,25.2
21150,25.2
21300,25.2
21450,25.2
21600,25.3
21750,25.3
21900,25.3
22050,25.2
22200,25.2
22350,25.2
22500,25.2
22650,25.2
22800,25.2
22950,25.2
23100,25.2
23250,25.2
23400,25.2
23550,25.2
23700,25.2
23850,25.2
24000,25.2
24150,25.2
24300,25.2
24450,25.2
24600,25.2
24750,25.2
24900,25.2
25050,25.2
25200,25.2
25350,25.2
25500,25.2
25650,25.2
25800,25.2
25950,25.2
26100,25.2
26250,25.2
26400,25.2
26550,25.2
26700,25.2
26850,25.2
27000,25.2
27150,25.2
27300,25.2
27450,25.2
27600,25.2
27750,25.2
27900,25.2
28050,25.2
28200,25.2
28350,25.2
28500,25.2
28650,25.2
28800,25.2
28950,25.2
29100,25.2
29250,25.2
29400,25.2
29550,25.2
29700,25.2
29850,25.2
30000,25.2
30150,25.2
30300,25.2
30450,25.2
30600,25.2
30750,25.2
30900,25.2
31050,25.2
31200,25.2
31350,25.2
31500,25.2
31650,25.2
31800,25.2
31950,25.2
32100,25.2
